,mode,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurt
seed,basket,36.0,658476364.0,800787343.4172361,202608111.0,202608111.0,202608113.75,202608116.5,658476366.75,2026081112.0,2026081112.0,1.206,-0.582
role_pnl,basket,36.0,-1.4257169997268169,39.51138178613878,-90.33979424212018,-71.34877953788222,-27.298932189575066,7.171994395920851,25.368797581076763,51.96922591420733,55.67724695786108,-0.628,-0.326
wallet_sum_pnl,basket,36.0,-2.868076146948322e-15,2.559177087010602e-14,-4.263256414560601e-14,-4.263256414560601e-14,-1.6986412276764895e-14,-1.2101430968414206e-14,1.9095836023552692e-14,4.7295500849031675e-14,4.7295500849031675e-14,0.408,-0.686
realizedAbs,basket,36.0,243.9436492775815,43.83827821034166,155.14037085236626,155.14037085236626,231.06606614687573,250.41906110347304,280.6906582944062,297.6291099153798,297.6291099153798,-0.737,-0.367
minSpot,basket,36.0,0.1462074509491731,0.00628034241062132,0.1365008886684259,0.1365008886684259,0.14076296359334942,0.1458578309655727,0.14985086697353817,0.1572238511914762,0.1572238511914762,0.241,-0.967
maxSpot,basket,36.0,0.2570453733171521,0.007844816110878564,0.242328154950906,0.242328154950906,0.25336927627998007,0.2560782186220252,0.26029811505472256,0.2742014312876267,0.2742014312876267,0.361,0.56
minCurve,basket,36.0,0.13404166666666667,0.0027500000000000024,0.127,0.127,0.13275,0.13475,0.1355,0.138,0.138,-1.223,1.691
maxCurve,basket,36.0,0.29604166666666665,0.005705104230924651,0.287,0.287,0.292,0.29625,0.29925,0.3065,0.3065,0.206,-0.732
rounds,basket,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,basket,36.0,79.58333333333333,1.9621416870348585,76.0,76.0,78.75,79.5,81.0,83.0,83.0,-0.096,-0.567
x402Total,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,spread,36.0,658476364.0,800787343.4172361,202608111.0,202608111.0,202608113.75,202608116.5,658476366.75,2026081112.0,2026081112.0,1.206,-0.582
role_pnl,spread,36.0,-467.96764516231076,8723.746034786951,-24696.214192919026,-13524.048733040425,-6699.435257003602,1240.5502392320584,5634.514421056987,9810.882777300114,14881.39603773796,-0.647,0.193
