     mode         column  outlier_count  outlier_pct           min          max          mean  iqr_outliers  zscore_outliers
   basket           seed              9        25.00  2.026083e+08 2.026083e+09  6.584769e+08             9                0
   basket wallet_sum_pnl              3         8.33 -6.039613e-14 5.284662e-14  0.000000e+00             3                0
   basket settlementLegs              3         8.33  7.500000e+01 8.300000e+01  7.966670e+01             3                0
   basket       role_pnl              0         0.00 -7.024975e+01 4.131407e+01 -1.488500e+00             0                0
   basket    realizedAbs              0         0.00  1.079842e+02 3.081561e+02  2.134211e+02             0                0
   basket        minSpot              0         0.00  1.071198e-01 1.247326e-01  1.171000e-01             0                0
   basket        maxSpot              0         0.00  1.985177e-01 2.350317e-01  2.135000e-01             0                0
   basket       minCurve              0         0.00  1.060000e-01 1.145000e-01  1.111000e-01             0                0
   basket       maxCurve              0         0.00  2.375000e-01 2.495000e-01  2.445000e-01             0                0
   basket         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
   basket      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   basket  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   spread           seed              9        25.00  2.026083e+08 2.026083e+09  6.584769e+08             9                0
   spread wallet_sum_pnl              3         8.33 -1.705303e-11 5.456968e-12 -0.000000e+00             3                0
   spread       maxCurve              3         8.33  6.882700e+01 7.359300e+01  7.108020e+01             3                0
   spread       role_pnl              1         2.78 -1.905471e+04 1.395127e+04 -3.717101e+02             1                0
   spread    realizedAbs              0         0.00  2.911585e+04 6.403829e+04  4.844048e+04             0                0
   spread        minSpot              0         0.00  4.051213e+01 4.440436e+01  4.255750e+01             0                0
   spread        maxSpot              0         0.00  6.009841e+01 7.053467e+01  6.517160e+01             0                0
   spread       minCurve              0         0.00  3.818400e+01 4.114450e+01  3.994890e+01             0                0
   spread         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
   spread settlementLegs              0         0.00  7.900000e+01 8.300000e+01  8.058330e+01             0                0
   spread      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   spread  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
synthetic           seed              9        25.00  2.026083e+08 2.026083e+09  6.584769e+08             9                0
synthetic wallet_sum_pnl              3         8.33 -1.731948e-14 2.486900e-14 -0.000000e+00             3                0
synthetic       role_pnl              1         2.78 -2.682011e+01 1.566366e+01 -4.978000e-01             1                0
synthetic    realizedAbs              0         0.00  3.847038e+01 1.238789e+02  8.447400e+01             0                0
synthetic        minSpot              0         0.00  4.284792e-02 4.989304e-02  4.690000e-02             0                0
synthetic        maxSpot              0         0.00  7.940709e-02 9.401270e-02  8.540000e-02             0                0
synthetic       minCurve              0         0.00  4.250000e-02 4.600000e-02  4.460000e-02             0                0
synthetic       maxCurve              0         0.00  9.500000e-02 1.000000e-01  9.790000e-02             0                0
synthetic         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
synthetic settlementLegs              0         0.00  7.500000e+01 8.300000e+01  7.958330e+01             0                0
synthetic      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
synthetic  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
     x402           seed              9        25.00  2.026083e+08 2.026083e+09  6.584769e+08             9                0
     x402 wallet_sum_pnl              3         8.33 -1.731948e-14 2.486900e-14 -0.000000e+00             3                0
     x402       role_pnl              1         2.78 -2.682011e+01 1.566366e+01 -4.978000e-01             1                0
     x402    realizedAbs              0         0.00  3.847038e+01 1.238789e+02  8.447400e+01             0                0
     x402        minSpot              0         0.00  4.284792e-02 4.989304e-02  4.690000e-02             0                0
     x402        maxSpot              0         0.00  7.940709e-02 9.401270e-02  8.540000e-02             0                0
     x402       minCurve              0         0.00  4.250000e-02 4.600000e-02  4.460000e-02             0                0
     x402       maxCurve              0         0.00  9.500000e-02 1.000000e-01  9.790000e-02             0                0
     x402         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
     x402 settlementLegs              0         0.00  7.500000e+01 8.300000e+01  7.958330e+01             0                0
     x402      x402Total              0         0.00  2.676080e+02 3.775882e+02  3.274652e+02             0                0
     x402  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0

Saved to out/programmatic-eda/compute-futures-2026-08-29/outliers_by_mode.csv
