seed,mode,live,settlement,spotSource,role,role_pnl,wallet_sum_pnl,realizedAbs,minSpot,maxSpot,minCurve,maxCurve,rounds,settlementLegs,x402Total,deniedWorkers
202607061,"synthetic",false,"cash","synthetic","analyst",2.6122310907589457,1.2656542480726785e-14,57.46285479058341,0.045103697738924343,0.08418217800579574,0.045,0.098,60,81,0,0
202607061,"synthetic",false,"cash","synthetic","operator",4.222334261858521,1.2656542480726785e-14,57.46285479058341,0.045103697738924343,0.08418217800579574,0.045,0.098,60,81,0,0
202607061,"synthetic",false,"cash","synthetic","retail",-7.351584155742603,1.2656542480726785e-14,57.46285479058341,0.045103697738924343,0.08418217800579574,0.045,0.098,60,81,0,0
202607062,"synthetic",false,"cash","synthetic","analyst",18.003752468194072,-5.995204332975845e-15,104.57087618271184,0.048971470995745676,0.0879617045828928,0.042,0.1,60,80,0,0
202607062,"synthetic",false,"cash","synthetic","operator",-25.877476831261905,-5.995204332975845e-15,104.57087618271184,0.048971470995745676,0.0879617045828928,0.042,0.1,60,80,0,0
202607062,"synthetic",false,"cash","synthetic","retail",7.460078119514312,-5.995204332975845e-15,104.57087618271184,0.048971470995745676,0.0879617045828928,0.042,0.1,60,80,0,0
202607063,"synthetic",false,"cash","synthetic","analyst",5.7220592846609835,-5.329070518200751e-15,85.96846700083759,0.04935577043617095,0.08290090809182347,0.0455,0.101,60,80,0,0
202607063,"synthetic",false,"cash","synthetic","operator",-15.57414201408757,-5.329070518200751e-15,85.96846700083759,0.04935577043617095,0.08290090809182347,0.0455,0.101,60,80,0,0
202607063,"synthetic",false,"cash","synthetic","retail",7.674899015334958,-5.329070518200751e-15,85.96846700083759,0.04935577043617095,0.08290090809182347,0.0455,0.101,60,80,0,0
202607064,"synthetic",false,"cash","synthetic","analyst",4.536965417370057,1.3322676295501878e-14,57.58777010175649,0.0498521051437356,0.08171040609861194,0.045,0.0975,60,79,0,0
202607064,"synthetic",false,"cash","synthetic","operator",-2.8412386709207165,1.3322676295501878e-14,57.58777010175649,0.0498521051437356,0.08171040609861194,0.045,0.0975,60,79,0,0
202607064,"synthetic",false,"cash","synthetic","retail",-2.684412640571302,1.3322676295501878e-14,57.58777010175649,0.0498521051437356,0.08171040609861194,0.045,0.0975,60,79,0,0
202607065,"synthetic",false,"cash","synthetic","analyst",-2.6600103905901102,6.439293542825908e-15,28.150692283024394,0.04732775686780929,0.08624091878429033,0.0445,0.101,60,81,0,0
202607065,"synthetic",false,"cash","synthetic","operator",0.7348798196180901,6.439293542825908e-15,28.150692283024394,0.04732775686780929,0.08624091878429033,0.0445,0.101,60,81,0,0
202607065,"synthetic",false,"cash","synthetic","retail",1.3411377554400186,6.439293542825908e-15,28.150692283024394,0.04732775686780929,0.08624091878429033,0.0445,0.101,60,81,0,0
202607066,"synthetic",false,"cash","synthetic","analyst",12.666647238526119,-1.9317880628477724e-14,108.201164677496,0.046534014045696376,0.08284284832891517,0.044,0.096,60,81,0,0
202607066,"synthetic",false,"cash","synthetic","operator",10.591833422623504,-1.9317880628477724e-14,108.201164677496,0.046534014045696376,0.08284284832891517,0.044,0.096,60,81,0,0
202607066,"synthetic",false,"cash","synthetic","retail",-24.85118895175234,-1.9317880628477724e-14,108.201164677496,0.046534014045696376,0.08284284832891517,0.044,0.096,60,81,0,0
202607067,"synthetic",false,"cash","synthetic","analyst",1.9907148085481623,8.43769498715119e-15,42.327733745658186,0.04668221829707218,0.08160098877670803,0.0445,0.1045,60,80,0,0
202607067,"synthetic",false,"cash","synthetic","operator",5.279745965387093,8.43769498715119e-15,42.327733745658186,0.04668221829707218,0.08160098877670803,0.0445,0.1045,60,80,0,0
202607067,"synthetic",false,"cash","synthetic","retail",-10.006033316785444,8.43769498715119e-15,42.327733745658186,0.04668221829707218,0.08160098877670803,0.0445,0.1045,60,80,0,0
202607068,"synthetic",false,"cash","synthetic","analyst",-2.5850746670755025,-1.021405182655144e-14,73.47573711427371,0.05014084891401118,0.0866198816415634,0.0465,0.10300000000000001,60,82,0,0
202607068,"synthetic",false,"cash","synthetic","operator",4.446993801702845,-1.021405182655144e-14,73.47573711427371,0.05014084891401118,0.0866198816415634,0.0465,0.10300000000000001,60,82,0,0
202607068,"synthetic",false,"cash","synthetic","retail",-0.5133147747709117,-1.021405182655144e-14,73.47573711427371,0.05014084891401118,0.0866198816415634,0.0465,0.10300000000000001,60,82,0,0
202607069,"synthetic",false,"cash","synthetic","analyst",11.914772589874579,2.020605904817785e-14,107.53690081939114,0.049634978116016165,0.08234795352439006,0.0455,0.0995,60,78,0,0
202607069,"synthetic",false,"cash","synthetic","operator",-2.5199794818100423,2.020605904817785e-14,107.53690081939114,0.049634978116016165,0.08234795352439006,0.0455,0.0995,60,78,0,0
202607069,"synthetic",false,"cash","synthetic","retail",-7.962503039282378,2.020605904817785e-14,107.53690081939114,0.049634978116016165,0.08234795352439006,0.0455,0.0995,60,78,0,0
2026070610,"synthetic",false,"cash","synthetic","analyst",19.17532773474936,1.3766765505351941e-14,95.04804663751557,0.049358043262667455,0.09180062885925976,0.0445,0.1055,60,81,0,0
2026070610,"synthetic",false,"cash","synthetic","operator",6.73943105896882,1.3766765505351941e-14,95.04804663751557,0.049358043262667455,0.09180062885925976,0.0445,0.1055,60,81,0,0
2026070610,"synthetic",false,"cash","synthetic","retail",-25.212809975827273,1.3766765505351941e-14,95.04804663751557,0.049358043262667455,0.09180062885925976,0.0445,0.1055,60,81,0,0
2026070611,"synthetic",false,"cash","synthetic","analyst",-2.023286788724765,4.440892098500626e-15,96.67943833545459,0.053045086103188345,0.08495032116649609,0.046,0.101,60,80,0,0
2026070611,"synthetic",false,"cash","synthetic","operator",-12.231383850809383,4.440892098500626e-15,96.67943833545459,0.053045086103188345,0.08495032116649609,0.046,0.101,60,80,0,0
2026070611,"synthetic",false,"cash","synthetic","retail",11.411227143235784,4.440892098500626e-15,96.67943833545459,0.053045086103188345,0.08495032116649609,0.046,0.101,60,80,0,0
2026070612,"synthetic",false,"cash","synthetic","analyst",3.600486746420852,6.661338147750939e-15,87.3597104171784,0.047721650802669505,0.08356941126329429,0.046,0.1065,60,82,0,0
2026070612,"synthetic",false,"cash","synthetic","operator",-1.1539100814495022,6.661338147750939e-15,87.3597104171784,0.047721650802669505,0.08356941126329429,0.046,0.1065,60,82,0,0
2026070612,"synthetic",false,"cash","synthetic","retail",-1.4104734168939412,6.661338147750939e-15,87.3597104171784,0.047721650802669505,0.08356941126329429,0.046,0.1065,60,82,0,0
202607061,"basket",true,"cash","darkbloom-basket","analyst",7.8009886121364405,-1.3766765505351941e-14,142.7601783619043,0.10824887457341842,0.20203722721390976,0.107,0.23500000000000001,60,80,0,0
202607061,"basket",true,"cash","darkbloom-basket","operator",12.566875993601059,-1.3766765505351941e-14,142.7601783619043,0.10824887457341842,0.20203722721390976,0.107,0.23500000000000001,60,80,0,0
202607061,"basket",true,"cash","darkbloom-basket","retail",-23.463361325294056,-1.3766765505351941e-14,142.7601783619043,0.10824887457341842,0.20203722721390976,0.107,0.23500000000000001,60,80,0,0
202607062,"basket",true,"cash","darkbloom-basket","analyst",51.2108560146027,-1.3322676295501878e-15,266.6745015126194,0.11753153038978963,0.2111080909989427,0.1005,0.2395,60,82,0,0
202607062,"basket",true,"cash","darkbloom-basket","operator",-70.45127334221918,-1.3322676295501878e-15,266.6745015126194,0.11753153038978963,0.2111080909989427,0.1005,0.2395,60,82,0,0
202607062,"basket",true,"cash","darkbloom-basket","retail",15.924469714177484,-1.3322676295501878e-15,266.6745015126194,0.11753153038978963,0.2111080909989427,0.1005,0.2395,60,82,0,0
