seed,mode,live,settlement,spotSource,role,role_pnl,wallet_sum_pnl,realizedAbs,minSpot,maxSpot,minCurve,maxCurve,rounds,settlementLegs,x402Total,deniedWorkers
202607101,"synthetic",false,"cash","synthetic","analyst",0.6378192077255721,-1.887379141862766e-14,33.48024047550277,0.04985196600941938,0.08232568931817497,0.045,0.098,60,83,0,0
202607101,"synthetic",false,"cash","synthetic","operator",1.5241730763981756,-1.887379141862766e-14,33.48024047550277,0.04985196600941938,0.08232568931817497,0.045,0.098,60,83,0,0
202607101,"synthetic",false,"cash","synthetic","retail",-1.4407434851497434,-1.887379141862766e-14,33.48024047550277,0.04985196600941938,0.08232568931817497,0.045,0.098,60,83,0,0
202607102,"synthetic",false,"cash","synthetic","analyst",5.03088620093923,-1.2434497875801753e-14,86.42358826918563,0.04895841182417104,0.08687164104577264,0.0445,0.0985,60,82,0,0
202607102,"synthetic",false,"cash","synthetic","operator",6.638795344040904,-1.2434497875801753e-14,86.42358826918563,0.04895841182417104,0.08687164104577264,0.0445,0.0985,60,82,0,0
202607102,"synthetic",false,"cash","synthetic","retail",-15.25860033914135,-1.2434497875801753e-14,86.42358826918563,0.04895841182417104,0.08687164104577264,0.0445,0.0985,60,82,0,0
202607103,"synthetic",false,"cash","synthetic","analyst",16.847864846574296,1.1102230246251565e-14,102.00943629401277,0.05126694814680573,0.08657787642360075,0.044,0.097,60,81,0,0
202607103,"synthetic",false,"cash","synthetic","operator",12.60410619606753,1.1102230246251565e-14,102.00943629401277,0.05126694814680573,0.08657787642360075,0.044,0.097,60,81,0,0
202607103,"synthetic",false,"cash","synthetic","retail",-32.10841130025521,1.1102230246251565e-14,102.00943629401277,0.05126694814680573,0.08657787642360075,0.044,0.097,60,81,0,0
202607104,"synthetic",false,"cash","synthetic","analyst",3.363571364840606,-6.5503158452884236e-15,45.92355129416905,0.049798550787054016,0.07954799995264188,0.046,0.101,60,78,0,0
202607104,"synthetic",false,"cash","synthetic","operator",3.496686903125458,-6.5503158452884236e-15,45.92355129416905,0.049798550787054016,0.07954799995264188,0.046,0.101,60,78,0,0
202607104,"synthetic",false,"cash","synthetic","retail",-7.701705133662164,-6.5503158452884236e-15,45.92355129416905,0.049798550787054016,0.07954799995264188,0.046,0.101,60,78,0,0
