seed,mode,live,settlement,spotSource,role,role_pnl,wallet_sum_pnl,realizedAbs,minSpot,maxSpot,minCurve,maxCurve,rounds,settlementLegs,x402Total,deniedWorkers
202606201,"synthetic",false,"cash","synthetic","analyst",1.6112237330743222,0,73.99880732636123,0.05009491427058958,0.0823049438042798,0.0475,0.0985,60,77,0,0
202606201,"synthetic",false,"cash","synthetic","operator",-5.4227337165335925,0,73.99880732636123,0.05009491427058958,0.0823049438042798,0.0475,0.0985,60,77,0,0
202606201,"synthetic",false,"cash","synthetic","retail",3.2008698934650837,0,73.99880732636123,0.05009491427058958,0.0823049438042798,0.0475,0.0985,60,77,0,0
202606202,"synthetic",false,"cash","synthetic","analyst",3.614490044841564,-6.5503158452884236e-15,77.71158113975785,0.047955741436695495,0.08565744621489103,0.0455,0.0985,60,81,0,0
202606202,"synthetic",false,"cash","synthetic","operator",-12.20775227114275,-6.5503158452884236e-15,77.71158113975785,0.047955741436695495,0.08565744621489103,0.0455,0.0985,60,81,0,0
202606202,"synthetic",false,"cash","synthetic","retail",7.917431215809986,-6.5503158452884236e-15,77.71158113975785,0.047955741436695495,0.08565744621489103,0.0455,0.0985,60,81,0,0
202606203,"synthetic",false,"cash","synthetic","analyst",-4.504482288725241,-6.217248937900877e-15,50.919058468734725,0.045632934411517424,0.08188045276957921,0.045,0.0965,60,80,0,0
202606203,"synthetic",false,"cash","synthetic","operator",5.622931488780127,-6.217248937900877e-15,50.919058468734725,0.045632934411517424,0.08188045276957921,0.045,0.0965,60,80,0,0
202606203,"synthetic",false,"cash","synthetic","retail",-3.5152300896001174,-6.217248937900877e-15,50.919058468734725,0.045632934411517424,0.08188045276957921,0.045,0.0965,60,80,0,0
202606204,"synthetic",false,"cash","synthetic","analyst",6.206734833322305,1.176836406102666e-14,83.58888391143577,0.049045093268822774,0.07866087444724362,0.043500000000000004,0.1,60,81,0,0
202606204,"synthetic",false,"cash","synthetic","operator",5.133901913674913,1.176836406102666e-14,83.58888391143577,0.049045093268822774,0.07866087444724362,0.043500000000000004,0.1,60,81,0,0
202606204,"synthetic",false,"cash","synthetic","retail",-12.665286648608287,1.176836406102666e-14,83.58888391143577,0.049045093268822774,0.07866087444724362,0.043500000000000004,0.1,60,81,0,0
202606205,"synthetic",false,"cash","synthetic","analyst",8.994221767407705,-2.220446049250313e-15,111.33762997393038,0.04384810375001274,0.07853866059006212,0.0445,0.0985,60,82,0,0
202606205,"synthetic",false,"cash","synthetic","operator",10.069733864456587,-2.220446049250313e-15,111.33762997393038,0.04384810375001274,0.07853866059006212,0.0445,0.0985,60,82,0,0
202606205,"synthetic",false,"cash","synthetic","retail",-20.42801372002112,-2.220446049250313e-15,111.33762997393038,0.04384810375001274,0.07853866059006212,0.0445,0.0985,60,82,0,0
202606206,"synthetic",false,"cash","synthetic","analyst",21.549029155666943,-9.880984919163893e-15,112.17186502092764,0.048721569592205284,0.08549899617080232,0.043000000000000003,0.0995,60,79,0,0
202606206,"synthetic",false,"cash","synthetic","operator",14.235045007294959,-9.880984919163893e-15,112.17186502092764,0.048721569592205284,0.08549899617080232,0.043000000000000003,0.0995,60,79,0,0
202606206,"synthetic",false,"cash","synthetic","retail",-36.44928293829346,-9.880984919163893e-15,112.17186502092764,0.048721569592205284,0.08549899617080232,0.043000000000000003,0.0995,60,79,0,0
202606207,"synthetic",false,"cash","synthetic","analyst",-3.6096790806996792,-1.0158540675320182e-14,70.77804577722246,0.045898555320790735,0.08454248714748146,0.046,0.1015,60,80,0,0
202606207,"synthetic",false,"cash","synthetic","operator",4.623247651867894,-1.0158540675320182e-14,70.77804577722246,0.045898555320790735,0.08454248714748146,0.046,0.1015,60,80,0,0
202606207,"synthetic",false,"cash","synthetic","retail",-1.3393676872042124,-1.0158540675320182e-14,70.77804577722246,0.045898555320790735,0.08454248714748146,0.046,0.1015,60,80,0,0
202606208,"synthetic",false,"cash","synthetic","analyst",11.703656105449957,1.5265566588595902e-14,102.06804858975894,0.04721402676893676,0.09055348268293179,0.045,0.0995,60,82,0,0
202606208,"synthetic",false,"cash","synthetic","operator",-2.580310466078565,1.5265566588595902e-14,102.06804858975894,0.04721402676893676,0.09055348268293179,0.045,0.0995,60,82,0,0
202606208,"synthetic",false,"cash","synthetic","retail",-9.424119517552402,1.5265566588595902e-14,102.06804858975894,0.04721402676893676,0.09055348268293179,0.045,0.0995,60,82,0,0
202606209,"synthetic",false,"cash","synthetic","analyst",-8.272061677455754,-2.6645352591003757e-15,67.66667684471572,0.048252499149245065,0.08830241952407258,0.047,0.096,60,82,0,0
202606209,"synthetic",false,"cash","synthetic","operator",-9.519023169957126,-2.6645352591003757e-15,67.66667684471572,0.048252499149245065,0.08830241952407258,0.047,0.096,60,82,0,0
202606209,"synthetic",false,"cash","synthetic","retail",16.126021089478463,-2.6645352591003757e-15,67.66667684471572,0.048252499149245065,0.08830241952407258,0.047,0.096,60,82,0,0
2026062010,"synthetic",false,"cash","synthetic","analyst",16.255723762540338,-6.8833827526759706e-15,96.43022116071353,0.04864709038721665,0.08221115073647203,0.043000000000000003,0.106,60,80,0,0
2026062010,"synthetic",false,"cash","synthetic","operator",11.072511590544586,-6.8833827526759706e-15,96.43022116071353,0.04864709038721665,0.08221115073647203,0.043000000000000003,0.106,60,80,0,0
2026062010,"synthetic",false,"cash","synthetic","retail",-27.279144692136676,-6.8833827526759706e-15,96.43022116071353,0.04864709038721665,0.08221115073647203,0.043000000000000003,0.106,60,80,0,0
2026062011,"synthetic",false,"cash","synthetic","analyst",4.346171261810214,-8.104628079763643e-15,83.68950433241136,0.05326244194921933,0.0884902222608277,0.043000000000000003,0.097,60,80,0,0
