seed,mode,live,settlement,spotSource,role,role_pnl,wallet_sum_pnl,realizedAbs,minSpot,maxSpot,minCurve,maxCurve,rounds,settlementLegs,x402Total,deniedWorkers
202608301,"synthetic",false,"cash","synthetic","analyst",9.194677994394183,9.797718192317006e-15,74.33683044500937,0.04780152187475443,0.08456306149031453,0.045,0.1,60,80,0,0
202608301,"synthetic",false,"cash","synthetic","operator",3.494515638355485,9.797718192317006e-15,74.33683044500937,0.04780152187475443,0.08456306149031453,0.045,0.1,60,80,0,0
202608301,"synthetic",false,"cash","synthetic","retail",-12.718774445370958,9.797718192317006e-15,74.33683044500937,0.04780152187475443,0.08456306149031453,0.045,0.1,60,80,0,0
202608302,"synthetic",false,"cash","synthetic","analyst",3.000464269402719,4.107825191113079e-15,69.23176402991339,0.04843619553867184,0.08360162899591858,0.0445,0.0975,60,78,0,0
202608302,"synthetic",false,"cash","synthetic","operator",1.9720916398487347,4.107825191113079e-15,69.23176402991339,0.04843619553867184,0.08360162899591858,0.0445,0.0975,60,78,0,0
202608302,"synthetic",false,"cash","synthetic","retail",-4.574265454827041,4.107825191113079e-15,69.23176402991339,0.04843619553867184,0.08360162899591858,0.0445,0.0975,60,78,0,0
202608303,"synthetic",false,"cash","synthetic","analyst",18.828402901225658,-8.548717289613705e-15,86.73418647607393,0.044138066614879796,0.07800745510883512,0.0425,0.098,60,82,0,0
202608303,"synthetic",false,"cash","synthetic","operator",5.036026082175038,-8.548717289613705e-15,86.73418647607393,0.044138066614879796,0.07800745510883512,0.0425,0.098,60,82,0,0
202608303,"synthetic",false,"cash","synthetic","retail",-23.505205334165105,-8.548717289613705e-15,86.73418647607393,0.044138066614879796,0.07800745510883512,0.0425,0.098,60,82,0,0
202608304,"synthetic",false,"cash","synthetic","analyst",10.816972705629333,-1.837419105754634e-14,68.83901048073493,0.049601508258963416,0.08273656222240892,0.0455,0.099,60,80,0,0
202608304,"synthetic",false,"cash","synthetic","operator",1.7422050635238904,-1.837419105754634e-14,68.83901048073493,0.049601508258963416,0.08273656222240892,0.0455,0.099,60,80,0,0
202608304,"synthetic",false,"cash","synthetic","retail",-12.575461889447238,-1.837419105754634e-14,68.83901048073493,0.049601508258963416,0.08273656222240892,0.0455,0.099,60,80,0,0
202608305,"synthetic",false,"cash","synthetic","analyst",11.003350929530535,3.552713678800501e-15,68.36533416031864,0.051674412981823105,0.08637462349571705,0.043000000000000003,0.10200000000000001,60,81,0,0
202608305,"synthetic",false,"cash","synthetic","operator",-2.130507887403407,3.552713678800501e-15,68.36533416031864,0.051674412981823105,0.08637462349571705,0.043000000000000003,0.10200000000000001,60,81,0,0
202608305,"synthetic",false,"cash","synthetic","retail",-13.106492497524329,3.552713678800501e-15,68.36533416031864,0.051674412981823105,0.08637462349571705,0.043000000000000003,0.10200000000000001,60,81,0,0
202608306,"synthetic",false,"cash","synthetic","analyst",-4.412760338955393,-7.327471962526033e-15,63.51408625877582,0.04827455684512978,0.07725553204469991,0.043500000000000004,0.099,60,81,0,0
