seed,mode,live,settlement,spotSource,role,role_pnl,wallet_sum_pnl,realizedAbs,minSpot,maxSpot,minCurve,maxCurve,rounds,settlementLegs,x402Total,deniedWorkers
202609151,"synthetic",false,"cash","synthetic","analyst",12.626716463100724,8.881784197001252e-16,99.82057383151445,0.04870565142814216,0.08301020575249934,0.0425,0.096,60,80,0,0
202609151,"synthetic",false,"cash","synthetic","operator",14.107306729695221,8.881784197001252e-16,99.82057383151445,0.04870565142814216,0.08301020575249934,0.0425,0.096,60,80,0,0
202609151,"synthetic",false,"cash","synthetic","retail",-27.68639912123133,8.881784197001252e-16,99.82057383151445,0.04870565142814216,0.08301020575249934,0.0425,0.096,60,80,0,0
202609152,"synthetic",false,"cash","synthetic","analyst",8.31106093183807,1.7763568394002505e-15,78.13285798723837,0.04958600078619292,0.07771222991013753,0.0465,0.096,60,81,0,0
202609152,"synthetic",false,"cash","synthetic","operator",5.601474367414869,1.7763568394002505e-15,78.13285798723837,0.04958600078619292,0.07771222991013753,0.0465,0.096,60,81,0,0
202609152,"synthetic",false,"cash","synthetic","retail",-16.61393184154857,1.7763568394002505e-15,78.13285798723837,0.04958600078619292,0.07771222991013753,0.0465,0.096,60,81,0,0
202609153,"synthetic",false,"cash","synthetic","analyst",7.302819439838589,-9.103828801926284e-15,82.43384594163803,0.04795091442484126,0.08592178940302969,0.0425,0.0995,60,81,0,0
202609153,"synthetic",false,"cash","synthetic","operator",15.582356428842147,-9.103828801926284e-15,82.43384594163803,0.04795091442484126,0.08592178940302969,0.0425,0.0995,60,81,0,0
202609153,"synthetic",false,"cash","synthetic","retail",-24.77561883932868,-9.103828801926284e-15,82.43384594163803,0.04795091442484126,0.08592178940302969,0.0425,0.0995,60,81,0,0
202609154,"synthetic",false,"cash","synthetic","analyst",7.478863485112318,-1.0658141036401503e-14,56.56990028062578,0.04947308967648954,0.08513214690606997,0.04475,0.099,60,78,0,0
202609154,"synthetic",false,"cash","synthetic","operator",-0.3374871055085684,-1.0658141036401503e-14,56.56990028062578,0.04947308967648954,0.08513214690606997,0.04475,0.099,60,78,0,0
202609154,"synthetic",false,"cash","synthetic","retail",-6.630487735709127,-1.0658141036401503e-14,56.56990028062578,0.04947308967648954,0.08513214690606997,0.04475,0.099,60,78,0,0
202609155,"synthetic",false,"cash","synthetic","analyst",9.50887022100955,-1.3322676295501878e-14,79.6273826818447,0.05088900390476952,0.0809752695270504,0.044,0.0985,60,84,0,0
202609155,"synthetic",false,"cash","synthetic","operator",6.0463846414163465,-1.3322676295501878e-14,79.6273826818447,0.05088900390476952,0.0809752695270504,0.044,0.0985,60,84,0,0
202609155,"synthetic",false,"cash","synthetic","retail",-19.517296748146048,-1.3322676295501878e-14,79.6273826818447,0.05088900390476952,0.0809752695270504,0.044,0.0985,60,84,0,0
202609156,"synthetic",false,"cash","synthetic","analyst",2.515060593596251,1.3322676295501878e-15,52.23758035735119,0.05111565685065657,0.08731076886811379,0.043500000000000004,0.0995,60,82,0,0
202609156,"synthetic",false,"cash","synthetic","operator",3.2971339180090595,1.3322676295501878e-15,52.23758035735119,0.05111565685065657,0.08731076886811379,0.043500000000000004,0.0995,60,82,0,0
