seed,mode,live,settlement,spotSource,role,role_pnl,wallet_sum_pnl,realizedAbs,minSpot,maxSpot,minCurve,maxCurve,rounds,settlementLegs,x402Total,deniedWorkers
202609231,"synthetic",false,"cash","synthetic","analyst",-0.1772065240331966,-4.440892098500626e-15,64.89281207154157,0.047402326210814,0.09080588984508733,0.0455,0.099,60,80,0,0
202609231,"synthetic",false,"cash","synthetic","operator",-5.623629734063026,-4.440892098500626e-15,64.89281207154157,0.047402326210814,0.09080588984508733,0.0455,0.099,60,80,0,0
202609231,"synthetic",false,"cash","synthetic","retail",4.79848121735398,-4.440892098500626e-15,64.89281207154157,0.047402326210814,0.09080588984508733,0.0455,0.099,60,80,0,0
202609232,"synthetic",false,"cash","synthetic","analyst",15.47098010139913,0,54.5136427875691,0.04914280814299038,0.08363057911918324,0.045,0.0995,60,81,0,0
202609232,"synthetic",false,"cash","synthetic","operator",-3.2525378289380127,0,54.5136427875691,0.04914280814299038,0.08363057911918324,0.045,0.0995,60,81,0,0
202609232,"synthetic",false,"cash","synthetic","retail",-17.04301546499113,0,54.5136427875691,0.04914280814299038,0.08363057911918324,0.045,0.0995,60,81,0,0
202609233,"synthetic",false,"cash","synthetic","analyst",13.171001985349791,-5.773159728050814e-15,71.30718023460798,0.04539147565853927,0.08102807697940324,0.045,0.098,60,79,0,0
202609233,"synthetic",false,"cash","synthetic","operator",16.077550417992825,-5.773159728050814e-15,71.30718023460798,0.04539147565853927,0.08102807697940324,0.045,0.098,60,79,0,0
202609233,"synthetic",false,"cash","synthetic","retail",-30.1906553070562,-5.773159728050814e-15,71.30718023460798,0.04539147565853927,0.08102807697940324,0.045,0.098,60,79,0,0
202609234,"synthetic",false,"cash","synthetic","analyst",6.871552523165245,-7.382983113757291e-15,56.27770651421357,0.045196649305819014,0.08405426866826611,0.0445,0.1005,60,82,0,0
202609234,"synthetic",false,"cash","synthetic","operator",-3.871624745259138,-7.382983113757291e-15,56.27770651421357,0.045196649305819014,0.08405426866826611,0.0445,0.1005,60,82,0,0
202609234,"synthetic",false,"cash","synthetic","retail",-3.435352470650659,-7.382983113757291e-15,56.27770651421357,0.045196649305819014,0.08405426866826611,0.0445,0.1005,60,82,0,0
202609235,"synthetic",false,"cash","synthetic","analyst",0.3796856046814532,-9.547918011776346e-15,45.728201488271,0.046302692667546254,0.08403944635931981,0.045,0.094,60,77,0,0
202609235,"synthetic",false,"cash","synthetic","operator",6.117093140537197,-9.547918011776346e-15,45.728201488271,0.046302692667546254,0.08403944635931981,0.045,0.094,60,77,0,0
202609235,"synthetic",false,"cash","synthetic","retail",-8.068119722491314,-9.547918011776346e-15,45.728201488271,0.046302692667546254,0.08403944635931981,0.045,0.094,60,77,0,0
202609236,"synthetic",false,"cash","synthetic","analyst",11.008683203854982,-9.325873406851315e-15,65.60903845338464,0.0528906534935947,0.0854155615643576,0.043500000000000004,0.10400000000000001,60,79,0,0
202609236,"synthetic",false,"cash","synthetic","operator",3.1042111032274633,-9.325873406851315e-15,65.60903845338464,0.0528906534935947,0.0854155615643576,0.043500000000000004,0.10400000000000001,60,79,0,0
202609236,"synthetic",false,"cash","synthetic","retail",-15.781676182809461,-9.325873406851315e-15,65.60903845338464,0.0528906534935947,0.0854155615643576,0.043500000000000004,0.10400000000000001,60,79,0,0
202609237,"synthetic",false,"cash","synthetic","analyst",-4.4540737831136,-3.774758283725532e-15,53.753915773112524,0.04603932424706416,0.08370274457794769,0.042,0.0965,60,82,0,0
202609237,"synthetic",false,"cash","synthetic","operator",4.336062757106976,-3.774758283725532e-15,53.753915773112524,0.04603932424706416,0.08370274457794769,0.042,0.0965,60,82,0,0
202609237,"synthetic",false,"cash","synthetic","retail",-1.8012601464639793,-3.774758283725532e-15,53.753915773112524,0.04603932424706416,0.08370274457794769,0.042,0.0965,60,82,0,0
202609238,"synthetic",false,"cash","synthetic","analyst",8.241849534321352,2.220446049250313e-15,68.3667849706007,0.04865442412531695,0.08265754057932724,0.0445,0.0995,60,83,0,0
202609238,"synthetic",false,"cash","synthetic","operator",-6.555048315192584,2.220446049250313e-15,68.3667849706007,0.04865442412531695,0.08265754057932724,0.0445,0.0995,60,83,0,0
202609238,"synthetic",false,"cash","synthetic","retail",0.5321650621501686,2.220446049250313e-15,68.3667849706007,0.04865442412531695,0.08265754057932724,0.0445,0.0995,60,83,0,0
202609239,"synthetic",false,"cash","synthetic","analyst",3.7185149233529464,9.992007221626409e-16,47.975679806641054,0.046277094181793973,0.08181646626726564,0.0465,0.0995,60,81,0,0
202609239,"synthetic",false,"cash","synthetic","operator",1.4814972662036734,9.992007221626409e-16,47.975679806641054,0.046277094181793973,0.08181646626726564,0.0465,0.0995,60,81,0,0
202609239,"synthetic",false,"cash","synthetic","retail",-5.48021566619455,9.992007221626409e-16,47.975679806641054,0.046277094181793973,0.08181646626726564,0.0465,0.0995,60,81,0,0
2026092310,"synthetic",false,"cash","synthetic","analyst",3.1053837273556164,1.1546319456101628e-14,74.16881090126662,0.047614472372510735,0.08424171826419574,0.045,0.096,60,82,0,0
2026092310,"synthetic",false,"cash","synthetic","operator",18.769475785794672,1.1546319456101628e-14,74.16881090126662,0.047614472372510735,0.08424171826419574,0.045,0.096,60,82,0,0
