seed,mode,live,settlement,spotSource,role,role_pnl,wallet_sum_pnl,realizedAbs,minSpot,maxSpot,minCurve,maxCurve,rounds,settlementLegs,x402Total,deniedWorkers
202608201,"synthetic",false,"cash","synthetic","analyst",5.266366736736867,-7.327471962526033e-15,75.11338536586412,0.05144413480512584,0.08727471443327196,0.0425,0.0955,60,82,0,0
202608201,"synthetic",false,"cash","synthetic","operator",9.968145476127575,-7.327471962526033e-15,75.11338536586412,0.05144413480512584,0.08727471443327196,0.0425,0.0955,60,82,0,0
202608201,"synthetic",false,"cash","synthetic","retail",-16.92996407809377,-7.327471962526033e-15,75.11338536586412,0.05144413480512584,0.08727471443327196,0.0425,0.0955,60,82,0,0
202608202,"synthetic",false,"cash","synthetic","analyst",8.613550252343805,-1.5987211554602254e-14,81.8301181200754,0.049184757623817035,0.07985178791193265,0.044,0.0975,60,81,0,0
202608202,"synthetic",false,"cash","synthetic","operator",9.881463874607421,-1.5987211554602254e-14,81.8301181200754,0.049184757623817035,0.07985178791193265,0.044,0.0975,60,81,0,0
202608202,"synthetic",false,"cash","synthetic","retail",-21.849707521211123,-1.5987211554602254e-14,81.8301181200754,0.049184757623817035,0.07985178791193265,0.044,0.0975,60,81,0,0
202608203,"synthetic",false,"cash","synthetic","analyst",19.99485564397343,-2.5757174171303632e-14,127.84781755251286,0.04850660055148148,0.0845345180767185,0.045,0.097,60,80,0,0
202608203,"synthetic",false,"cash","synthetic","operator",10.358580966106533,-2.5757174171303632e-14,127.84781755251286,0.04850660055148148,0.0845345180767185,0.045,0.097,60,80,0,0
202608203,"synthetic",false,"cash","synthetic","retail",-33.26669849636127,-2.5757174171303632e-14,127.84781755251286,0.04850660055148148,0.0845345180767185,0.045,0.097,60,80,0,0
202608204,"synthetic",false,"cash","synthetic","analyst",20.58704407787444,-8.881784197001252e-15,115.32731367674579,0.04506543429269827,0.07947099742471302,0.0445,0.1005,60,80,0,0
202608204,"synthetic",false,"cash","synthetic","operator",8.356222978676577,-8.881784197001252e-15,115.32731367674579,0.04506543429269827,0.07947099742471302,0.0445,0.1005,60,80,0,0
202608204,"synthetic",false,"cash","synthetic","retail",-31.553915052210623,-8.881784197001252e-15,115.32731367674579,0.04506543429269827,0.07947099742471302,0.0445,0.1005,60,80,0,0
202608205,"synthetic",false,"cash","synthetic","analyst",-0.9740150863075132,-6.328271240363392e-15,67.90660412967145,0.046445822535964035,0.0857190065047666,0.047,0.105,60,84,0,0
202608205,"synthetic",false,"cash","synthetic","operator",4.625576632118018,-6.328271240363392e-15,67.90660412967145,0.046445822535964035,0.0857190065047666,0.047,0.105,60,84,0,0
202608205,"synthetic",false,"cash","synthetic","retail",-3.9450503500864067,-6.328271240363392e-15,67.90660412967145,0.046445822535964035,0.0857190065047666,0.047,0.105,60,84,0,0
202608206,"synthetic",false,"cash","synthetic","analyst",-5.3049924028381685,1.9206858326015208e-14,72.00197671715642,0.05065653063738734,0.08112720213479048,0.0455,0.0995,60,83,0,0
202608206,"synthetic",false,"cash","synthetic","operator",3.5234254950869444,1.9206858326015208e-14,72.00197671715642,0.05065653063738734,0.08112720213479048,0.0455,0.0995,60,83,0,0
202608206,"synthetic",false,"cash","synthetic","retail",1.3912898824519224,1.9206858326015208e-14,72.00197671715642,0.05065653063738734,0.08112720213479048,0.0455,0.0995,60,83,0,0
202608207,"synthetic",false,"cash","synthetic","analyst",10.391634448637644,-1.1102230246251565e-14,71.47258805767329,0.047808775944401145,0.08107085128174069,0.0445,0.093,60,83,0,0
202608207,"synthetic",false,"cash","synthetic","operator",0.5394197556854885,-1.1102230246251565e-14,71.47258805767329,0.047808775944401145,0.08107085128174069,0.0445,0.093,60,83,0,0
202608207,"synthetic",false,"cash","synthetic","retail",-12.615734100366874,-1.1102230246251565e-14,71.47258805767329,0.047808775944401145,0.08107085128174069,0.0445,0.093,60,83,0,0
202608208,"synthetic",false,"cash","synthetic","analyst",8.724366040696733,2.220446049250313e-15,60.20610062321864,0.04739054932508818,0.08380931039333595,0.045,0.099,60,81,0,0
