seed,mode,live,settlement,spotSource,role,role_pnl,wallet_sum_pnl,realizedAbs,minSpot,maxSpot,minCurve,maxCurve,rounds,settlementLegs,x402Total,deniedWorkers
202606091,synthetic,false,cash,synthetic,analyst,11.400409421076565,-5.995204332975845e-15,101.16232042265568,0.045470721305078586,0.08118190023422238,0.043500000000000004,0.1015,60,80,0,0
202606091,synthetic,false,cash,synthetic,operator,14.528054954047626,-5.995204332975845e-15,101.16232042265568,0.045470721305078586,0.08118190023422238,0.043500000000000004,0.1015,60,80,0,0
202606091,synthetic,false,cash,synthetic,retail,-26.85598979798863,-5.995204332975845e-15,101.16232042265568,0.045470721305078586,0.08118190023422238,0.043500000000000004,0.1015,60,80,0,0
202606092,synthetic,false,cash,synthetic,analyst,12.32875158594421,-7.993605777301127e-15,77.61039066350054,0.04573384418818292,0.0833826264298234,0.0455,0.098,60,76,0,0
202606092,synthetic,false,cash,synthetic,operator,-1.0441191518539443,-7.993605777301127e-15,77.61039066350054,0.04573384418818292,0.0833826264298234,0.0455,0.098,60,76,0,0
202606092,synthetic,false,cash,synthetic,retail,-12.603422676284236,-7.993605777301127e-15,77.61039066350054,0.04573384418818292,0.0833826264298234,0.0455,0.098,60,76,0,0
202606093,synthetic,false,cash,synthetic,analyst,10.213510983330513,-1.554312234475219e-14,118.51827191021977,0.048774150296096344,0.08136672432731189,0.042,0.10400000000000001,60,83,0,0
202606093,synthetic,false,cash,synthetic,operator,-5.312297990978442,-1.554312234475219e-14,118.51827191021977,0.048774150296096344,0.08136672432731189,0.042,0.10400000000000001,60,83,0,0
202606093,synthetic,false,cash,synthetic,retail,-7.322381457765367,-1.554312234475219e-14,118.51827191021977,0.048774150296096344,0.08136672432731189,0.042,0.10400000000000001,60,83,0,0
202606094,synthetic,false,cash,synthetic,analyst,8.266874752323357,-7.299716386910404e-15,69.40088938753152,0.04542924076246348,0.08669171827486807,0.044,0.099,60,78,0,0
202606094,synthetic,false,cash,synthetic,operator,0.32969903386255384,-7.299716386910404e-15,69.40088938753152,0.04542924076246348,0.08669171827486807,0.044,0.099,60,78,0,0
202606094,synthetic,false,cash,synthetic,retail,-8.707955146202545,-7.299716386910404e-15,69.40088938753152,0.04542924076246348,0.08669171827486807,0.044,0.099,60,78,0,0
202606095,synthetic,false,cash,synthetic,analyst,-1.569800981220169,-2.220446049250313e-15,65.07893639110381,0.050841718454816366,0.08208182818509382,0.043500000000000004,0.10300000000000001,60,82,0,0
202606095,synthetic,false,cash,synthetic,operator,1.4724721513577284,-2.220446049250313e-15,65.07893639110381,0.050841718454816366,0.08208182818509382,0.043500000000000004,0.10300000000000001,60,82,0,0
202606095,synthetic,false,cash,synthetic,retail,-0.6498215372177087,-2.220446049250313e-15,65.07893639110381,0.050841718454816366,0.08208182818509382,0.043500000000000004,0.10300000000000001,60,82,0,0
202606096,synthetic,false,cash,synthetic,analyst,5.612981660229556,1.554312234475219e-14,61.01709007157984,0.047396060313804174,0.08126598598955789,0.0455,0.098,60,77,0,0
202606096,synthetic,false,cash,synthetic,operator,5.805895858303401,1.554312234475219e-14,61.01709007157984,0.047396060313804174,0.08126598598955789,0.0455,0.098,60,77,0,0
202606096,synthetic,false,cash,synthetic,retail,-13.488419151486308,1.554312234475219e-14,61.01709007157984,0.047396060313804174,0.08126598598955789,0.0455,0.098,60,77,0,0
202606097,synthetic,false,cash,synthetic,analyst,9.475580576679311,1.3322676295501878e-15,52.43847023423028,0.044913964370879134,0.08310635193892574,0.043000000000000003,0.0995,60,82,0,0
202606097,synthetic,false,cash,synthetic,operator,6.158831673342568,1.3322676295501878e-15,52.43847023423028,0.044913964370879134,0.08310635193892574,0.043000000000000003,0.0995,60,82,0,0
202606097,synthetic,false,cash,synthetic,retail,-17.50914248327059,1.3322676295501878e-15,52.43847023423028,0.044913964370879134,0.08310635193892574,0.043000000000000003,0.0995,60,82,0,0
202606098,synthetic,false,cash,synthetic,analyst,7.724333787146469,7.771561172376096e-16,51.88669697793912,0.04936410912766428,0.08649116807940696,0.045,0.0975,60,79,0,0
202606098,synthetic,false,cash,synthetic,operator,-12.458789312393673,7.771561172376096e-16,51.88669697793912,0.04936410912766428,0.08649116807940696,0.045,0.0975,60,79,0,0
202606098,synthetic,false,cash,synthetic,retail,4.072260101126179,7.771561172376096e-16,51.88669697793912,0.04936410912766428,0.08649116807940696,0.045,0.0975,60,79,0,0
202606099,synthetic,false,cash,synthetic,analyst,4.2313741639910765,-3.552713678800501e-15,42.81822726833253,0.05158041337388664,0.07833556744525878,0.044,0.1,60,79,0,0
202606099,synthetic,false,cash,synthetic,operator,4.017801730347952,-3.552713678800501e-15,42.81822726833253,0.05158041337388664,0.07833556744525878,0.044,0.1,60,79,0,0
202606099,synthetic,false,cash,synthetic,retail,-10.01223106372057,-3.552713678800501e-15,42.81822726833253,0.05158041337388664,0.07833556744525878,0.044,0.1,60,79,0,0
2026060910,synthetic,false,cash,synthetic,analyst,18.92273557522181,-8.881784197001252e-16,109.66830001243545,0.04666406584824408,0.08589853238329587,0.044,0.098,60,80,0,0
2026060910,synthetic,false,cash,synthetic,operator,10.337934083985079,-8.881784197001252e-16,109.66830001243545,0.04666406584824408,0.08589853238329587,0.044,0.098,60,80,0,0
2026060910,synthetic,false,cash,synthetic,retail,-33.18904359570631,-8.881784197001252e-16,109.66830001243545,0.04666406584824408,0.08589853238329587,0.044,0.098,60,80,0,0
2026060911,synthetic,false,cash,synthetic,analyst,4.818994338278014,-8.104628079763643e-15,66.12893164893414,0.05014082929259254,0.08415990719164657,0.045,0.0995,60,79,0,0
2026060911,synthetic,false,cash,synthetic,operator,0.5845120801831438,-8.104628079763643e-15,66.12893164893414,0.05014082929259254,0.08415990719164657,0.045,0.0995,60,79,0,0
2026060911,synthetic,false,cash,synthetic,retail,-4.895639442412913,-8.104628079763643e-15,66.12893164893414,0.05014082929259254,0.08415990719164657,0.045,0.0995,60,79,0,0
2026060912,synthetic,false,cash,synthetic,analyst,12.251774525887896,2.3092638912203256e-14,104.84653858941351,0.04762214785993212,0.08064108211837841,0.044,0.0995,60,81,0,0
2026060912,synthetic,false,cash,synthetic,operator,11.660123745488306,2.3092638912203256e-14,104.84653858941351,0.04762214785993212,0.08064108211837841,0.044,0.0995,60,81,0,0
2026060912,synthetic,false,cash,synthetic,retail,-27.233958819669574,2.3092638912203256e-14,104.84653858941351,0.04762214785993212,0.08064108211837841,0.044,0.0995,60,81,0,0
202606091,basket,true,cash,darkbloom-basket,analyst,28.797148059806446,-2.6645352591003757e-15,236.14661701841368,0.10912973113218857,0.19483656056213366,0.105,0.2415,60,80,0,0
202606091,basket,true,cash,darkbloom-basket,operator,36.58333220376234,-2.6645352591003757e-15,236.14661701841368,0.10912973113218857,0.19483656056213366,0.105,0.2415,60,80,0,0
202606091,basket,true,cash,darkbloom-basket,retail,-67.98318541417518,-2.6645352591003757e-15,236.14661701841368,0.10912973113218857,0.19483656056213366,0.105,0.2415,60,80,0,0
202606092,basket,true,cash,darkbloom-basket,analyst,35.367104558199586,5.084821452783217e-14,196.47092084113638,0.109761226051639,0.2001183034315761,0.1095,0.234,60,78,0,0
202606092,basket,true,cash,darkbloom-basket,operator,-5.518088405419061,5.084821452783217e-14,196.47092084113638,0.109761226051639,0.2001183034315761,0.1095,0.234,60,78,0,0
