,mode,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurt
wallet_sum_pnl,spread,36.0,-6.252776074688882e-13,4.433786671143026e-12,-1.0459189070388676e-11,-1.0459189070388676e-11,-3.979039320256561e-12,-5.684341886080804e-14,2.643218977027573e-12,5.002220859751105e-12,5.002220859751105e-12,-0.657,-0.054
realizedAbs,spread,36.0,46371.53503796177,18118.971371736294,28673.51801231272,28673.51801231272,33096.950582072175,45009.78225093808,53222.50596057324,96359.42279384288,96359.42279384288,1.649,2.907
minSpot,spread,36.0,43.20748618543442,1.911838224140608,39.65445709195976,39.65445709195976,41.80373790183774,43.740130891777454,44.4944245080937,45.65290740563979,45.65290740563979,-0.342,-1.033
maxSpot,spread,36.0,67.04585768743064,1.9738087982348058,64.50583670107632,64.50583670107632,65.19152633666405,66.80119018501277,68.47973942921125,69.99744994936505,69.99744994936505,0.208,-1.41
minCurve,spread,36.0,39.59820833333333,1.2363528528643095,37.2215,37.2215,38.38875,40.16225,40.54975,40.8825,40.8825,-0.776,-1.002
maxCurve,spread,36.0,70.49516666666666,1.3164991942919786,68.235,68.235,69.69775,70.0505,71.1575,72.7465,72.7465,0.358,-0.702
rounds,spread,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,spread,36.0,80.75,1.5560940111151933,78.0,78.0,79.75,81.0,82.0,83.0,83.0,-0.135,-0.972
x402Total,spread,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,spread,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,synthetic,36.0,658476721.5,800787778.1807185,202608221.0,202608221.0,202608223.75,202608226.5,658476724.25,2026082212.0,2026082212.0,1.206,-0.582
role_pnl,synthetic,36.0,-0.2995236613591026,11.447338822724886,-25.68840190183612,-20.99182028193476,-6.046568321649405,0.47978399191128585,9.09791504901941,14.484646995048,17.183630384528875,-0.5,-0.495
wallet_sum_pnl,synthetic,36.0,-2.1371793224034263e-15,8.507002748344552e-15,-1.554312234475219e-14,-1.554312234475219e-14,-7.271960811294775e-15,-9.992007221626405e-16,4.10782519111308e-15,1.1102230246251564e-14,1.1102230246251564e-14,-0.234,-1.241
realizedAbs,synthetic,36.0,75.31671989860722,17.247585891388994,43.10537629146089,43.10537629146089,65.55000193585802,78.60209969243496,91.31159148385963,96.05171336389353,96.05171336389353,-0.636,-0.892
minSpot,synthetic,36.0,0.04816840896832488,0.0021934056306244865,0.0441564561309812,0.0441564561309812,0.04704861579330315,0.047750120838983695,0.049292749974102046,0.0533013131464171,0.0533013131464171,0.631,1.061
maxSpot,synthetic,36.0,0.08293578211591474,0.002906676394593232,0.0793128882742557,0.0793128882742557,0.08039675471765227,0.08247757194103125,0.08513173287817355,0.0888062194718701,0.0888062194718701,0.571,-0.727
minCurve,synthetic,36.0,0.04483333333333334,0.0007559289460184551,0.0435,0.0435,0.0445,0.045,0.0455,0.046,0.046,-0.496,-0.531
maxCurve,synthetic,36.0,0.10004166666666667,0.003360218955450882,0.0955,0.0955,0.09725,0.09975,0.10175000000000001,0.107,0.107,0.474,-0.459
