,mode,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurt
minSpot,spread,36.0,23.04271239231973,0.6282587478998258,21.89196880717339,21.89196880717339,22.76376233289028,23.127194250504417,23.52842794459288,23.98111102762627,23.98111102762627,-0.477,-0.752
maxSpot,spread,36.0,34.93865902951661,0.5073528784577271,34.13470385158524,34.13470385158524,34.65017349268305,34.97484686714631,35.157636111498405,35.95305415972853,35.95305415972853,0.136,-0.286
minCurve,spread,36.0,21.133916666666664,0.5512937187069286,20.1465,20.1465,20.74425,21.19975,21.60625,21.813,21.813,-0.392,-1.135
maxCurve,spread,36.0,37.87747916666668,1.1574055397664829,36.6345,36.6345,37.25625,37.400999999999996,38.034625000000005,40.859,40.859,1.54,1.658
rounds,spread,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,spread,36.0,79.83333333333333,1.7968225924034429,77.0,77.0,78.75,80.0,81.25,82.0,82.0,-0.299,-1.216
x402Total,spread,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,spread,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,synthetic,36.0,658479484.0,800791137.7167199,202609071.0,202609071.0,202609073.75,202609076.5,658479486.75,2026090712.0,2026090712.0,1.206,-0.582
role_pnl,synthetic,36.0,-0.4551310375525452,13.61746401510734,-30.988778153138718,-23.51673279031082,-5.454502128188233,2.0811778292518253,9.024999262342014,16.012970664352572,19.96319075366459,-0.596,-0.577
wallet_sum_pnl,synthetic,36.0,-4.498716214366519e-15,1.8705027473206783e-14,-2.7894353493707055e-14,-2.7894353493707055e-14,-1.7985612998927536e-14,-1.0574874309554616e-14,4.218847493575595e-15,3.8635761256955454e-14,3.8635761256955454e-14,0.963,0.248
realizedAbs,synthetic,36.0,79.32713845021763,22.548690377903352,46.47703759599972,46.47703759599972,62.618827047791896,69.54047998952937,95.80413195783558,123.17787717893924,123.17787717893924,0.496,-0.862
minSpot,synthetic,36.0,0.047905164196705895,0.0016437001806796968,0.0453122398266467,0.0453122398266467,0.047099402977748506,0.04749305770221455,0.04901410703197955,0.0505072740518174,0.0505072740518174,0.377,-0.914
