,mode,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurt
seed,basket,36.0,658476819.0,800787896.7525775,202608251.0,202608251.0,202608253.75,202608256.5,658476821.75,2026082512.0,2026082512.0,1.206,-0.582
role_pnl,basket,36.0,-1.2739446292867511,35.342816808291026,-90.07641596968732,-59.77352563116233,-25.022451253949914,6.093763594858255,20.665218627480275,43.72867833845409,60.19214556329086,-0.681,0.146
wallet_sum_pnl,basket,36.0,8.613480299383507e-15,2.9724495087013456e-14,-4.1744385725905886e-14,-4.1744385725905886e-14,-7.549516567451064e-15,-5.551115123125783e-16,3.630429290524262e-14,5.329070518200752e-14,5.329070518200752e-14,0.099,-1.035
realizedAbs,basket,36.0,226.27389090507683,52.0242058546567,145.12367430822468,145.12367430822468,206.74263562299888,219.80444215702698,239.80542295876415,339.0331501780846,339.0331501780846,0.522,0.237
minSpot,basket,36.0,0.12139105007743153,0.003407963540324222,0.1152736586322319,0.1152736586322319,0.1199065782539805,0.12162538949201579,0.1245807410444407,0.125547939245313,0.125547939245313,-0.597,-0.697
maxSpot,basket,36.0,0.2134270731706764,0.00552118896622606,0.2058791790954585,0.2058791790954585,0.20917638766201962,0.21264352624700783,0.2153248208711141,0.2254860103622723,0.2254860103622723,0.837,0.052
minCurve,basket,36.0,0.10991666666666666,0.004076938627380672,0.103,0.103,0.107625,0.1105,0.113125,0.115,0.115,-0.526,-1.07
maxCurve,basket,36.0,0.24675000000000002,0.008162195082906847,0.237,0.237,0.23912499999999998,0.246,0.250875,0.263,0.263,0.511,-0.741
rounds,basket,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,basket,36.0,80.08333333333333,1.5189281935440058,78.0,78.0,79.5,80.0,81.0,83.0,83.0,0.162,-0.527
x402Total,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,spread,36.0,658476819.0,800787896.7525775,202608251.0,202608251.0,202608253.75,202608256.5,658476821.75,2026082512.0,2026082512.0,1.206,-0.582
role_pnl,spread,36.0,-461.3079091809849,9019.194644509862,-25259.62557541621,-16040.271099919866,-5722.818651825676,1443.6822334111348,5210.5435666022,11118.605814806362,13898.497487004906,-0.731,0.363
wallet_sum_pnl,spread,36.0,-5.755396159656812e-13,4.9634632098660414e-12,-8.640199666842818e-12,-8.640199666842818e-12,-3.012701199622825e-12,-3.410605131648481e-13,2.643218977027573e-12,8.185452315956354e-12,8.185452315956354e-12,-0.164,-0.66
realizedAbs,spread,36.0,47866.61585216448,11500.089360614855,29592.49493580624,29592.49493580624,41952.563731903516,47157.25712677802,52468.78854314858,76887.63277076757,76887.63277076757,0.957,1.714
minSpot,spread,36.0,42.164512457655306,1.1559285878140606,39.73046891983852,39.73046891983852,41.42479158527027,42.284026113721715,43.0078632610983,43.79700215003684,43.79700215003684,-0.493,-0.325
maxSpot,spread,36.0,65.37521741355104,3.207418997190576,58.96289702416205,58.96289702416205,63.3435298800614,66.07014741573138,67.66671766411156,69.93621711788191,69.93621711788191,-0.453,-0.696
minCurve,spread,36.0,39.631416666666674,0.8903162078722364,38.0575,38.0575,39.08825,39.763999999999996,40.366749999999996,40.7585,40.7585,-0.468,-1.136
