,mode,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurt
seed,basket,36.0,658470481.5,800780189.5817515,202606301.0,202606301.0,202606303.75,202606306.5,658470484.25,2026063012.0,2026063012.0,1.206,-0.582
role_pnl,basket,36.0,-0.4513053023239579,24.168418740568715,-52.3895713995193,-45.46753365418903,-18.234107032562612,5.838288681874809,18.761025689989488,29.044136605212802,33.544826895983114,-0.673,-0.609
wallet_sum_pnl,basket,36.0,1.7115938296304508e-15,2.857708920324325e-14,-4.3520742565306136e-14,-4.3520742565306136e-14,-1.6167622796103842e-14,3.219646771412954e-15,1.432187701766452e-14,7.216449660063519e-14,7.216449660063519e-14,0.886,1.305
realizedAbs,basket,36.0,156.12034375824172,30.382086220291622,112.9759103362673,112.9759103362673,130.07805922771647,150.07453857450423,185.51225012898394,204.1734019780553,204.1734019780553,0.217,-1.468
minSpot,basket,36.0,0.11642904353668941,0.003699111648592457,0.1079879870223442,0.1079879870223442,0.1144840970645474,0.1168692661228525,0.11933835284450585,0.1216220341658052,0.1216220341658052,-0.767,0.162
maxSpot,basket,36.0,0.20219855694005015,0.006308841181251811,0.1950328703227447,0.1950328703227447,0.196384536017519,0.2019908276881478,0.20732835152685425,0.2140491778561671,0.2140491778561671,0.345,-1.149
minCurve,basket,36.0,0.10710416666666667,0.0022712292140726685,0.104,0.104,0.105375,0.10725,0.108625,0.11075,0.11075,0.159,-1.189
maxCurve,basket,36.0,0.23639583333333336,0.007601779631864404,0.221,0.221,0.23175,0.2375,0.24212499999999998,0.2475,0.2475,-0.48,-0.548
rounds,basket,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,basket,36.0,80.16666666666667,1.5399443403670707,76.0,76.0,79.75,81.0,81.0,82.0,82.0,-1.637,2.502
x402Total,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,spread,36.0,658470481.5,800780189.5817515,202606301.0,202606301.0,202606303.75,202606306.5,658470484.25,2026063012.0,2026063012.0,1.206,-0.582
role_pnl,spread,36.0,-494.06090276265684,10569.774667349391,-24654.77993631795,-18790.3710573331,-6947.942102916296,1320.1267225756937,7349.176817288597,14394.662037956348,19042.629668978057,-0.403,-0.359
wallet_sum_pnl,spread,36.0,-2.557953848736359e-13,5.119344216688999e-12,-1.0572875908110289e-11,-1.0572875908110289e-11,-2.0037305148434825e-12,1.0231815394945443e-12,2.515321284590755e-12,9.094947017729282e-12,9.094947017729282e-12,-0.5,0.185
