,mode,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurt
seed,basket,36.0,658473699.0,800784102.4530939,202607291.0,202607291.0,202607293.75,202607296.5,658473701.75,2026072912.0,2026072912.0,1.206,-0.582
role_pnl,basket,36.0,-0.903207915421069,32.884930738746384,-76.56666507950555,-62.47875961121467,-20.006360566859826,7.680768603393667,24.14982717222086,37.744203931334134,49.41656477229815,-0.708,-0.245
wallet_sum_pnl,basket,36.0,-1.5913196686293917e-15,3.493665647974729e-14,-8.404388296412436e-14,-8.404388296412436e-14,-1.1879386363489177e-14,-4.218847493575595e-15,2.1316282072803006e-14,6.128431095930864e-14,6.128431095930864e-14,-0.591,1.14
realizedAbs,basket,36.0,197.1073999222545,34.14068609354027,154.78314154793668,154.78314154793668,168.96275434411223,192.80044052444669,227.90262912459173,252.01174931737668,252.01174931737668,0.17,-1.539
minSpot,basket,36.0,0.12014587106677269,0.0049720295301685855,0.1115219827367356,0.1115219827367356,0.11552995973722072,0.1204936712383448,0.12433879101206838,0.1267249721549918,0.1267249721549918,-0.386,-1.247
maxSpot,basket,36.0,0.2130064538372244,0.0056910114508571,0.2059020837160308,0.2059020837160308,0.2080418359229142,0.2110987477295946,0.21836412233177702,0.2218801705254499,0.2218801705254499,0.405,-1.475
minCurve,basket,36.0,0.11166666666666665,0.0018784492084087435,0.108,0.108,0.111375,0.1115,0.112375,0.115,0.115,-0.173,-0.04
maxCurve,basket,36.0,0.24629166666666663,0.005820376767382484,0.236,0.236,0.24362499999999998,0.2475,0.24862499999999998,0.258,0.258,0.017,-0.073
rounds,basket,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,basket,36.0,79.25,1.5560940111151933,77.0,77.0,78.0,79.0,80.25,82.0,82.0,0.135,-0.972
x402Total,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,spread,36.0,658473699.0,800784102.4530939,202607291.0,202607291.0,202607293.75,202607296.5,658473701.75,2026072912.0,2026072912.0,1.206,-0.582
role_pnl,spread,36.0,-564.1728323371376,8018.151718264601,-17511.314856978406,-14967.760403944418,-5309.172169879479,1737.0916735299375,4474.471376651418,9773.71009267739,12623.525678850552,-0.634,-0.452
wallet_sum_pnl,spread,36.0,7.058057841883662e-13,2.731067058985281e-12,-2.7284841053187847e-12,-2.7284841053187847e-12,-1.0231815394945443e-12,-2.5579538487363607e-13,2.2168933355715126e-12,6.821210263296962e-12,6.821210263296962e-12,0.948,0.015
realizedAbs,spread,36.0,44731.0173608771,13837.85846801261,20113.378903903853,20113.378903903853,37310.33032833152,45545.47716193411,54742.59934730608,66529.5788241593,66529.5788241593,-0.367,-0.664
minSpot,spread,36.0,43.144232447368644,2.1188533696125944,39.29150160276999,39.29150160276999,41.778939939065836,43.76314535317195,44.31585265408566,46.29524404660405,46.29524404660405,-0.423,-0.686
maxSpot,spread,36.0,65.9931410491339,2.9910004602566946,61.252873131724485,61.252873131724485,64.49611423931786,65.85654226323726,67.68072353412781,72.60102003298125,72.60102003298125,0.373,0.341
minCurve,spread,36.0,39.66995833333333,1.098635324748715,37.776,37.776,39.046375,40.139250000000004,40.55175,40.7295,40.7295,-0.849,-0.911
maxCurve,spread,36.0,70.41852083333335,1.7853762762420307,67.296,67.296,69.605875,70.545,71.32287500000001,74.38850000000001,74.38850000000001,0.314,0.566
rounds,spread,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,spread,36.0,80.08333333333333,1.5189281935440058,78.0,78.0,79.0,80.0,81.0,83.0,83.0,0.318,-0.794
x402Total,spread,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,spread,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,synthetic,36.0,658473699.0,800784102.4530939,202607291.0,202607291.0,202607293.75,202607296.5,658473701.75,2026072912.0,2026072912.0,1.206,-0.582
role_pnl,synthetic,36.0,-0.17997887191599465,11.642549721042824,-27.697108552857628,-22.197913804302118,-6.331777618254685,1.8146913876652828,8.599649007450001,13.55655367168177,19.07694268780257,-0.714,-0.019
wallet_sum_pnl,synthetic,36.0,-2.7709316322936197e-15,8.64296197091752e-15,-2.0872192862952943e-14,-2.0872192862952943e-14,-7.077671781985374e-15,-2.220446049250313e-15,3.066991105526995e-15,1.0547118733938987e-14,1.0547118733938987e-14,-0.458,-0.28
realizedAbs,synthetic,36.0,76.31891036103006,13.224178035236294,53.21389274942237,53.21389274942237,67.7138225407305,75.26672945466092,89.19247170585773,94.59347203014217,94.59347203014217,-0.221,-1.208
minSpot,synthetic,36.0,0.04805834842670906,0.001988811812067432,0.0446087930946942,0.0446087930946942,0.04621198389488828,0.0481974684953379,0.049735516404827325,0.0506899888619967,0.0506899888619967,-0.386,-1.247
maxSpot,synthetic,36.0,0.08520258153488974,0.0022764045803428416,0.0823608334864123,0.0823608334864123,0.08321673436916566,0.08443949909183779,0.0873456489327108,0.0887520682101799,0.0887520682101799,0.405,-1.475
minCurve,synthetic,36.0,0.044645833333333336,0.000868855980174917,0.043,0.043,0.0445,0.04475,0.0450625,0.046,0.046,-0.757,0.073
maxCurve,synthetic,36.0,0.09870833333333334,0.00240052077683156,0.0945,0.0945,0.0975,0.099,0.099625,0.1035,0.1035,-0.016,-0.113
rounds,synthetic,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,synthetic,36.0,79.75,1.5,77.0,77.0,79.0,79.5,81.0,82.0,82.0,-0.03,-0.783
x402Total,synthetic,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,synthetic,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,x402,36.0,658473699.0,800784102.4530939,202607291.0,202607291.0,202607293.75,202607296.5,658473701.75,2026072912.0,2026072912.0,1.206,-0.582
role_pnl,x402,36.0,-0.17997887191599465,11.642549721042824,-27.697108552857628,-22.197913804302118,-6.331777618254685,1.8146913876652828,8.599649007450001,13.55655367168177,19.07694268780257,-0.714,-0.019
wallet_sum_pnl,x402,36.0,-2.7709316322936197e-15,8.64296197091752e-15,-2.0872192862952943e-14,-2.0872192862952943e-14,-7.077671781985374e-15,-2.220446049250313e-15,3.066991105526995e-15,1.0547118733938987e-14,1.0547118733938987e-14,-0.458,-0.28
realizedAbs,x402,36.0,76.31891036103006,13.224178035236294,53.21389274942237,53.21389274942237,67.7138225407305,75.26672945466092,89.19247170585773,94.59347203014217,94.59347203014217,-0.221,-1.208
minSpot,x402,36.0,0.04805834842670906,0.001988811812067432,0.0446087930946942,0.0446087930946942,0.04621198389488828,0.0481974684953379,0.049735516404827325,0.0506899888619967,0.0506899888619967,-0.386,-1.247
maxSpot,x402,36.0,0.08520258153488974,0.0022764045803428416,0.0823608334864123,0.0823608334864123,0.08321673436916566,0.08443949909183779,0.0873456489327108,0.0887520682101799,0.0887520682101799,0.405,-1.475
minCurve,x402,36.0,0.044645833333333336,0.000868855980174917,0.043,0.043,0.0445,0.04475,0.0450625,0.046,0.046,-0.757,0.073
maxCurve,x402,36.0,0.09870833333333334,0.00240052077683156,0.0945,0.0945,0.0975,0.099,0.099625,0.1035,0.1035,-0.016,-0.113
rounds,x402,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,x402,36.0,79.75,1.5,77.0,77.0,79.0,79.5,81.0,82.0,82.0,-0.03,-0.783
x402Total,x402,36.0,333.0762880746586,23.92562307729467,290.4102282925461,290.4102282925461,319.10934676323313,341.96543264352573,353.17058351313943,360.72329573065394,360.72329573065394,-0.614,-0.893
deniedWorkers,x402,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
