,mode,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurt
seed,basket,36.0,658479711.5,800791414.3843906,202609141.0,202609141.0,202609143.75,202609146.5,658479714.25,2026091412.0,2026091412.0,1.206,-0.582
role_pnl,basket,36.0,-1.0527106906722286,29.879875983058913,-80.63634601180888,-55.10885089825949,-17.043961395843134,4.773861170366237,23.56699998143253,37.26192975378106,47.677968057011135,-0.654,0.211
wallet_sum_pnl,basket,36.0,-8.197146665149072e-15,2.4438593054686945e-14,-4.1744385725905886e-14,-4.1744385725905886e-14,-2.3148150063434514e-14,-1.0103029524088925e-14,4.218847493575595e-15,2.930988785010413e-14,2.930988785010413e-14,0.338,-1.034
realizedAbs,basket,36.0,199.25908924528537,44.47278842255153,113.65671658473836,113.65671658473836,175.29640253390264,197.83709228537452,232.66902308912512,266.3562807917248,266.3562807917248,-0.231,-0.705
minSpot,basket,36.0,0.12321541512554372,0.005792102983256235,0.1133656574432163,0.1133656574432163,0.12016143108910551,0.12286330264863254,0.12665468086843223,0.1344584927107127,0.1344584927107127,0.177,-0.29
maxSpot,basket,36.0,0.21104789255784337,0.008750671079709924,0.1986583958123093,0.1986583958123093,0.20512384783660767,0.20909655096189084,0.21695396308334497,0.2312330089890628,0.2312330089890628,0.832,0.307
minCurve,basket,36.0,0.11485416666666665,0.002536430985234397,0.11,0.11,0.113125,0.115375,0.116375,0.118,0.118,-0.519,-0.816
maxCurve,basket,36.0,0.25270833333333337,0.006861252488743275,0.242,0.242,0.24762499999999998,0.2525,0.25575000000000003,0.2675,0.2675,0.583,-0.033
rounds,basket,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,basket,36.0,80.41666666666667,1.8727367292662513,76.0,76.0,79.75,81.0,81.0,84.0,84.0,-0.567,1.361
x402Total,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
