,mode,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurt
seed,basket,36.0,658473731.5,800784141.9770468,202607301.0,202607301.0,202607303.75,202607306.5,658473734.25,2026073012.0,2026073012.0,1.206,-0.582
role_pnl,basket,36.0,-0.3557598948761577,33.62075963557016,-85.7722129846824,-54.59399317552105,-23.434925934495794,6.9028170642797075,18.950653683187827,44.479650416878606,71.78388994687447,-0.495,0.539
wallet_sum_pnl,basket,36.0,-1.4886240388515642e-14,3.992831758385083e-14,-1.0036416142611416e-13,-1.0036416142611416e-13,-3.519406988061746e-14,-5.551115123125784e-15,1.3766765505351941e-14,4.7073456244106644e-14,4.7073456244106644e-14,-0.683,-0.096
realizedAbs,basket,36.0,211.23087135996,46.77270765966942,139.49918093607124,139.49918093607124,189.82349999403934,201.99793955093884,226.83452885075806,312.10622464249883,312.10622464249883,0.722,0.065
minSpot,basket,36.0,0.12022242621686297,0.005825248352053337,0.1109906790859746,0.1109906790859746,0.11368015570837173,0.122556534486455,0.12495555639695317,0.1273660936539517,0.1273660936539517,-0.445,-1.503
maxSpot,basket,36.0,0.20925064431066953,0.006545312310576068,0.201441369340848,0.201441369340848,0.20406158017393317,0.20762303446457758,0.2135626128068941,0.2230663769370612,0.2230663769370612,0.712,-0.446
minCurve,basket,36.0,0.11054166666666668,0.0039030665599536734,0.104,0.104,0.10725,0.1115,0.1135,0.116,0.116,-0.452,-1.147
maxCurve,basket,36.0,0.24854166666666655,0.008488963423174825,0.2335,0.2335,0.24262499999999998,0.2495,0.253375,0.264,0.264,-0.112,-0.596
rounds,basket,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,basket,36.0,80.58333333333333,1.0522085616183026,79.0,79.0,80.0,80.5,81.25,82.0,82.0,0.001,-1.183
x402Total,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,spread,36.0,658473731.5,800784141.9770468,202607301.0,202607301.0,202607303.75,202607306.5,658473734.25,2026073012.0,2026073012.0,1.206,-0.582
role_pnl,spread,36.0,-381.99167405587787,7263.755121388085,-18663.832749913563,-13996.820815653158,-4729.7469880688495,1199.29256738341,5069.7801075711395,8174.543782262672,9791.062530041803,-0.862,0.095
wallet_sum_pnl,spread,36.0,-1.4021376652332644e-12,4.307451822103335e-12,-1.0572875908110289e-11,-1.0572875908110289e-11,-2.9558577807620168e-12,-5.115907697472721e-13,1.1937117960769683e-12,3.865352482534945e-12,3.865352482534945e-12,-0.789,-0.239
realizedAbs,spread,36.0,47474.16724400617,10016.626841109859,33347.23491838717,33347.23491838717,40473.66305008578,45124.0042239593,54251.04768310932,68289.62967040026,68289.62967040026,0.563,-0.511
minSpot,spread,36.0,43.111937304642055,1.6588682307431317,39.77513508037915,39.77513508037915,42.49408096556097,43.35997442700383,44.245369431593986,45.236450278881655,45.236450278881655,-0.789,-0.237
maxSpot,spread,36.0,66.09709199867217,1.8137869746377275,63.53817378141277,63.53817378141277,64.65592373913657,65.98080650294837,66.99941474091054,69.85815074288774,69.85815074288774,0.54,-0.443
minCurve,spread,36.0,40.144666666666666,0.6898837583245456,38.914,38.914,39.547375,40.249,40.656625,41.182,41.182,-0.254,-1.1
maxCurve,spread,36.0,70.49995833333335,1.336051888294118,68.42,68.42,69.821625,70.528,71.138625,72.8445,72.8445,-0.063,-0.749
rounds,spread,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,spread,36.0,80.33333333333333,1.7237832147426695,77.0,77.0,79.0,80.5,82.0,83.0,83.0,-0.232,-0.853
x402Total,spread,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,spread,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,synthetic,36.0,658473731.5,800784141.9770468,202607301.0,202607301.0,202607303.75,202607306.5,658473734.25,2026073012.0,2026073012.0,1.206,-0.582
