mode,column,outlier_count,outlier_pct,min,max,mean,iqr_outliers,zscore_outliers
basket,seed,9,25.0,202608241.0,2026082412.0,658476786.5,9,0
basket,minCurve,6,16.67,0.1055,0.1145,0.1105,6,0
basket,role_pnl,1,2.78,-107.56970216464217,58.29249945970109,-0.6066,1,0
basket,wallet_sum_pnl,0,0.0,-3.8191672047105385e-14,4.440892098500626e-14,0.0,0,0
basket,realizedAbs,0,0.0,168.15248523625036,275.35324169219524,222.5034,0,0
basket,minSpot,0,0.0,0.1159790415290306,0.1297537363378046,0.1234,0,0
basket,maxSpot,0,0.0,0.1986992727145242,0.2283743473968379,0.2099,0,0
basket,maxCurve,0,0.0,0.239,0.2685,0.2506,0,0
basket,rounds,0,0.0,60.0,60.0,60.0,0,0
basket,settlementLegs,0,0.0,76.0,84.0,80.5,0,0
basket,x402Total,0,0.0,0.0,0.0,0.0,0,0
basket,deniedWorkers,0,0.0,0.0,0.0,0.0,0,0
spread,seed,9,25.0,202608241.0,2026082412.0,658476786.5,9,0
spread,wallet_sum_pnl,3,8.33,-7.73070496506989e-12,1.5916157281026244e-11,0.0,3,0
spread,maxSpot,3,8.33,64.21541938836941,74.61846368546655,67.4796,3,0
spread,minCurve,3,8.33,37.3355,40.9715,39.6342,3,0
spread,role_pnl,0,0.0,-24359.764109465912,12805.091588609328,-461.1311,0,0
spread,realizedAbs,0,0.0,29576.784081877475,71471.00166245678,55756.7563,0,0
spread,minSpot,0,0.0,42.00098349392989,45.94732187961483,44.0064,0,0
spread,maxCurve,0,0.0,69.2655,74.8625,71.8589,0,0
spread,rounds,0,0.0,60.0,60.0,60.0,0,0
spread,settlementLegs,0,0.0,77.0,83.0,80.5,0,0
spread,x402Total,0,0.0,0.0,0.0,0.0,0,0
spread,deniedWorkers,0,0.0,0.0,0.0,0.0,0,0
synthetic,settlementLegs,12,33.33,78.0,83.0,80.9167,12,0
synthetic,seed,9,25.0,202608241.0,2026082412.0,658476786.5,9,0
synthetic,minCurve,3,8.33,0.0425,0.0455,0.0444,3,0
synthetic,role_pnl,1,2.78,-42.03563351818418,25.28462702028148,-0.4123,1,0
synthetic,wallet_sum_pnl,0,0.0,-2.5035529205297283e-14,1.887379141862766e-14,-0.0,0,0
synthetic,realizedAbs,0,0.0,60.28818101876168,110.4979453344402,87.6081,0,0
synthetic,minSpot,0,0.0,0.0463916166116122,0.0519014945351218,0.0494,0,0
synthetic,maxSpot,0,0.0,0.0794797090858097,0.0913497389587351,0.084,0,0
synthetic,maxCurve,0,0.0,0.0955,0.1075,0.1003,0,0
synthetic,rounds,0,0.0,60.0,60.0,60.0,0,0
synthetic,x402Total,0,0.0,0.0,0.0,0.0,0,0
synthetic,deniedWorkers,0,0.0,0.0,0.0,0.0,0,0
x402,settlementLegs,12,33.33,78.0,83.0,80.9167,12,0
x402,seed,9,25.0,202608241.0,2026082412.0,658476786.5,9,0
x402,minCurve,3,8.33,0.0425,0.0455,0.0444,3,0
x402,x402Total,3,8.33,293.2914593623768,438.72508521960657,331.9455,3,0
x402,role_pnl,1,2.78,-42.03563351818418,25.28462702028148,-0.4123,1,0
x402,wallet_sum_pnl,0,0.0,-2.5035529205297283e-14,1.887379141862766e-14,-0.0,0,0
x402,realizedAbs,0,0.0,60.28818101876168,110.4979453344402,87.6081,0,0
x402,minSpot,0,0.0,0.0463916166116122,0.0519014945351218,0.0494,0,0
x402,maxSpot,0,0.0,0.0794797090858097,0.0913497389587351,0.084,0,0
x402,maxCurve,0,0.0,0.0955,0.1075,0.1003,0,0
x402,rounds,0,0.0,60.0,60.0,60.0,0,0
x402,deniedWorkers,0,0.0,0.0,0.0,0.0,0,0
