     mode         column  outlier_count  outlier_pct           min          max          mean  iqr_outliers  zscore_outliers
   basket           seed              9        25.00  2.026082e+08 2.026082e+09  6.584767e+08             9                0
   basket        minSpot              6        16.67  1.136144e-01 1.279979e-01  1.219000e-01             6                0
   basket    realizedAbs              3         8.33  1.034949e+02 2.245259e+02  1.748550e+02             3                0
   basket        maxSpot              3         8.33  2.042952e-01 2.288525e-01  2.118000e-01             3                0
   basket       role_pnl              0         0.00 -6.494752e+01 4.412618e+01 -8.684000e-01             0                0
   basket wallet_sum_pnl              0         0.00 -4.884981e-14 3.952394e-14 -0.000000e+00             0                0
   basket       minCurve              0         0.00  1.035000e-01 1.175000e-01  1.104000e-01             0                0
   basket       maxCurve              0         0.00  2.330000e-01 2.525000e-01  2.459000e-01             0                0
   basket         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
   basket settlementLegs              0         0.00  7.800000e+01 8.400000e+01  8.016670e+01             0                0
   basket      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   basket  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   spread           seed              9        25.00  2.026082e+08 2.026082e+09  6.584767e+08             9                0
   spread        minSpot              6        16.67  3.963403e+01 4.793265e+01  4.330880e+01             6                0
   spread        maxSpot              3         8.33  6.236360e+01 7.264991e+01  6.638820e+01             3                0
   spread       role_pnl              0         0.00 -2.319727e+04 1.379895e+04 -5.537291e+02             0                0
   spread wallet_sum_pnl              0         0.00 -1.273293e-11 1.250555e-11 -0.000000e+00             0                0
   spread    realizedAbs              0         0.00  2.543818e+04 6.629501e+04  4.867301e+04             0                0
   spread       minCurve              0         0.00  3.739350e+01 4.114150e+01  3.946550e+01             0                0
   spread       maxCurve              0         0.00  6.850550e+01 7.500000e+01  7.154400e+01             0                0
   spread         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
   spread settlementLegs              0         0.00  7.800000e+01 8.300000e+01  8.033330e+01             0                0
   spread      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   spread  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
synthetic           seed              9        25.00  2.026082e+08 2.026082e+09  6.584767e+08             9                0
synthetic    realizedAbs              6        16.67  3.967666e+01 9.053810e+01  6.827830e+01             6                0
synthetic        minSpot              6        16.67  4.544577e-02 5.119916e-02  4.880000e-02             6                0
synthetic       maxCurve              6        16.67  9.350000e-02 1.010000e-01  9.860000e-02             6                0
synthetic        maxSpot              3         8.33  8.171807e-02 9.154100e-02  8.470000e-02             3                0
synthetic       role_pnl              0         0.00 -2.440303e+01 1.623023e+01 -2.700000e-01             0                0
synthetic wallet_sum_pnl              0         0.00 -1.221245e-14 2.176037e-14  0.000000e+00             0                0
synthetic       minCurve              0         0.00  4.150000e-02 4.700000e-02  4.410000e-02             0                0
synthetic         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
synthetic settlementLegs              0         0.00  7.500000e+01 8.400000e+01  8.033330e+01             0                0
synthetic      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
synthetic  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
     x402           seed              9        25.00  2.026082e+08 2.026082e+09  6.584767e+08             9                0
     x402    realizedAbs              6        16.67  3.967666e+01 9.053810e+01  6.827830e+01             6                0
     x402        minSpot              6        16.67  4.544577e-02 5.119916e-02  4.880000e-02             6                0
     x402       maxCurve              6        16.67  9.350000e-02 1.010000e-01  9.860000e-02             6                0
     x402        maxSpot              3         8.33  8.171807e-02 9.154100e-02  8.470000e-02             3                0
     x402       role_pnl              0         0.00 -2.440303e+01 1.623023e+01 -2.700000e-01             0                0
     x402 wallet_sum_pnl              0         0.00 -1.221245e-14 2.176037e-14  0.000000e+00             0                0
     x402       minCurve              0         0.00  4.150000e-02 4.700000e-02  4.410000e-02             0                0
     x402         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
     x402 settlementLegs              0         0.00  7.500000e+01 8.400000e+01  8.033330e+01             0                0
     x402      x402Total              0         0.00  2.877906e+02 3.913834e+02  3.253664e+02             0                0
     x402  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0

Saved to out/programmatic-eda/compute-futures-2026-08-21/outliers_by_mode.csv
