mode,column,outlier_count,outlier_pct,min,max,mean,iqr_outliers,zscore_outliers
basket,seed,9,25.0,202607221.0,2026072212.0,658473471.5,9,0
basket,realizedAbs,9,25.0,124.49470509090987,288.5349867593894,198.3655,9,0
basket,maxCurve,6,16.67,0.236,0.2655,0.2477,6,0
basket,minCurve,3,8.33,0.106,0.114,0.111,3,0
basket,role_pnl,0,0.0,-71.62460350994579,47.488210705486665,-0.5166,0,0
basket,wallet_sum_pnl,0,0.0,-3.952393967665557e-14,2.5313084961453572e-14,-0.0,0,0
basket,minSpot,0,0.0,0.108819897576108,0.1325866075020225,0.1203,0,0
basket,maxSpot,0,0.0,0.1981052741634103,0.2229599209571655,0.2093,0,0
basket,rounds,0,0.0,60.0,60.0,60.0,0,0
basket,settlementLegs,0,0.0,76.0,82.0,79.5833,0,0
basket,x402Total,0,0.0,0.0,0.0,0.0,0,0
basket,deniedWorkers,0,0.0,0.0,0.0,0.0,0,0
spread,seed,9,25.0,202607221.0,2026072212.0,658473471.5,9,0
spread,maxSpot,9,25.0,62.17900299243982,71.3783554043302,65.6988,9,0
spread,minCurve,3,8.33,37.39525,41.436,40.2095,3,0
spread,maxCurve,3,8.33,67.86275,73.414,70.9157,3,0
spread,role_pnl,0,0.0,-21504.99765556973,14202.15140142168,-379.9014,0,0
spread,wallet_sum_pnl,0,0.0,-8.412825991399586e-12,8.640199666842818e-12,0.0,0,0
spread,realizedAbs,0,0.0,25843.62502628581,70582.72769101617,53083.9191,0,0
spread,minSpot,0,0.0,41.10180126795599,44.71127925409784,42.7067,0,0
spread,rounds,0,0.0,60.0,60.0,60.0,0,0
spread,settlementLegs,0,0.0,76.0,83.0,79.5833,0,0
spread,x402Total,0,0.0,0.0,0.0,0.0,0,0
spread,deniedWorkers,0,0.0,0.0,0.0,0.0,0,0
synthetic,seed,9,25.0,202607221.0,2026072212.0,658473471.5,9,0
synthetic,maxCurve,9,25.0,0.0945,0.106,0.0991,9,0
synthetic,realizedAbs,3,8.33,54.53235704872318,116.41266531013235,77.8125,3,0
synthetic,role_pnl,2,5.56,-27.10815712750921,18.53891428150077,-0.1166,2,0
synthetic,wallet_sum_pnl,0,0.0,-3.4583447217073626e-14,1.1102230246251564e-14,-0.0,0,0
synthetic,minSpot,0,0.0,0.0435279590304432,0.053034643000809,0.0481,0,0
synthetic,maxSpot,0,0.0,0.0792421096653641,0.0891839683828662,0.0837,0,0
synthetic,minCurve,0,0.0,0.0425,0.0455,0.0444,0,0
synthetic,rounds,0,0.0,60.0,60.0,60.0,0,0
synthetic,settlementLegs,0,0.0,76.0,82.0,79.0833,0,0
synthetic,x402Total,0,0.0,0.0,0.0,0.0,0,0
synthetic,deniedWorkers,0,0.0,0.0,0.0,0.0,0,0
x402,seed,9,25.0,202607221.0,2026072212.0,658473471.5,9,0
x402,maxCurve,9,25.0,0.0945,0.106,0.0991,9,0
x402,realizedAbs,3,8.33,54.53235704872318,116.41266531013235,77.8125,3,0
x402,role_pnl,2,5.56,-27.10815712750921,18.53891428150077,-0.1166,2,0
x402,wallet_sum_pnl,0,0.0,-3.4583447217073626e-14,1.1102230246251564e-14,-0.0,0,0
x402,minSpot,0,0.0,0.0435279590304432,0.053034643000809,0.0481,0,0
x402,maxSpot,0,0.0,0.0792421096653641,0.0891839683828662,0.0837,0,0
x402,minCurve,0,0.0,0.0425,0.0455,0.0444,0,0
x402,rounds,0,0.0,60.0,60.0,60.0,0,0
x402,settlementLegs,0,0.0,76.0,82.0,79.0833,0,0
x402,x402Total,0,0.0,280.2171528734855,366.0880291877387,318.1432,0,0
x402,deniedWorkers,0,0.0,0.0,0.0,0.0,0,0
