,mode,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurt
seed,basket,36.0,658473016.5,800783272.4500818,202607081.0,202607081.0,202607083.75,202607086.5,658473019.25,2026070812.0,2026070812.0,1.206,-0.582
role_pnl,basket,36.0,-1.3214489241181437,32.17439910103164,-103.18811594912194,-57.199708178760474,-15.685365524139922,2.558056826913896,24.13817899843283,41.733500445964495,48.03518332646208,-0.953,1.701
wallet_sum_pnl,basket,36.0,-5.6991448597424705e-15,2.0219962553215075e-14,-4.085620730620576e-14,-4.085620730620576e-14,-2.0872192862952943e-14,-4.773959005888172e-15,1.2156942119645464e-14,2.042810365310288e-14,2.042810365310288e-14,-0.276,-1.292
realizedAbs,basket,36.0,204.51831892533275,55.57167296936394,151.30791469264054,151.30791469264054,164.36749127817308,192.15624546421117,224.14862309320404,351.01839490797875,351.01839490797875,1.486,1.963
minSpot,basket,36.0,0.11532649245746393,0.0037447326455253317,0.1091100465392474,0.1091100465392474,0.11330104029384075,0.11491325628684296,0.1181452264167571,0.1219901190776232,0.1219901190776232,0.076,-0.714
maxSpot,basket,36.0,0.20221248675497755,0.011924350606306741,0.1875855908510695,0.1875855908510695,0.19632342971494393,0.1980662340168112,0.20679296000608058,0.2290874138503415,0.2290874138503415,1.031,0.323
minCurve,basket,36.0,0.10599999999999998,0.003420526275297413,0.0995,0.0995,0.1035,0.107,0.108625,0.11,0.11,-0.6,-1.009
maxCurve,basket,36.0,0.2391666666666666,0.007154419213724776,0.2305,0.2305,0.233875,0.23675,0.242,0.2545,0.2545,0.852,-0.212
rounds,basket,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,basket,36.0,80.25,2.0753657164805572,77.0,77.0,79.0,80.0,81.25,84.0,84.0,0.072,-0.571
x402Total,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,spread,36.0,658473016.5,800783272.4500818,202607081.0,202607081.0,202607083.75,202607086.5,658473019.25,2026070812.0,2026070812.0,1.206,-0.582
role_pnl,spread,36.0,-552.1703333891523,8208.972132017516,-16849.542515643152,-12749.103248608566,-6613.52906535585,-363.3337243422004,7077.113911397853,10761.047964101503,14809.700240386484,-0.045,-0.974
wallet_sum_pnl,spread,36.0,-4.357995445995284e-13,6.1514980358354e-12,-1.0231815394945444e-11,-1.0231815394945444e-11,-5.6843418860808015e-12,3.410605131648481e-13,5.2864379540551446e-12,7.844391802791506e-12,7.844391802791506e-12,-0.138,-1.348
realizedAbs,spread,36.0,46145.0716909082,9806.6045186207,25912.2242622281,25912.2242622281,42466.15435699362,47866.8027608375,53877.583706342884,57893.33323243957,57893.33323243957,-0.882,-0.238
minSpot,spread,36.0,43.78243373419074,1.7990535676879797,41.86937748027595,41.86937748027595,42.53302730325996,43.724148876614365,44.209161261914474,48.850094096792304,48.850094096792304,1.775,3.425
maxSpot,spread,36.0,66.24493864553546,1.8032939088662243,63.47585287476036,63.47585287476036,64.86526015450383,66.75050664703538,67.6110137147869,68.45724496659383,68.45724496659383,-0.456,-1.238
minCurve,spread,36.0,40.01833333333333,1.0331733017401148,37.908,37.908,39.328500000000005,40.01049999999999,40.889375,41.68,41.68,-0.241,-0.357
maxCurve,spread,36.0,70.05083333333336,1.4900259729279888,66.6965,66.6965,69.106875,70.28575000000001,71.02,72.0805,72.0805,-0.702,0.194
rounds,spread,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,spread,36.0,81.08333333333333,2.247220505424423,76.0,76.0,79.75,81.0,83.0,84.0,84.0,-0.782,0.049
