,mode,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurt
seed,basket,36.0,658473666.5,800784062.9291409,202607281.0,202607281.0,202607283.75,202607286.5,658473669.25,2026072812.0,2026072812.0,1.206,-0.582
role_pnl,basket,36.0,-1.9763415485039135,51.06259996759492,-109.3875343832188,-102.75195018092272,-39.927951196702296,14.332494974287993,33.386417968129585,67.70685400390457,72.98603234906292,-0.657,-0.49
wallet_sum_pnl,basket,36.0,-1.8411198491700507e-15,3.173703991327225e-14,-5.0626169922907145e-14,-5.0626169922907145e-14,-2.295386103412511e-14,-3.552713678800501e-15,1.454392162258955e-14,7.105427357601003e-14,7.105427357601003e-14,0.673,0.361
realizedAbs,basket,36.0,272.33315512351885,61.2892395383719,184.18826988640217,184.18826988640217,218.03616429990683,276.5956497445176,300.7857692748988,402.5015946759118,402.5015946759118,0.495,-0.219
minSpot,basket,36.0,0.1523710368595574,0.005951953657376551,0.1446737639651002,0.1446737639651002,0.1477842936852948,0.15100178919010143,0.15587024808505381,0.1637865307072256,0.1637865307072256,0.519,-0.746
maxSpot,basket,36.0,0.2735225494169285,0.011173798545123454,0.2578592297820885,0.2578592297820885,0.2679232315038677,0.27059421826616303,0.2773739289235088,0.3006062134945802,0.3006062134945802,1.02,0.98
minCurve,basket,36.0,0.14183333333333334,0.005443213336676356,0.133,0.133,0.138125,0.14150000000000001,0.14525,0.151,0.151,0.175,-0.915
maxCurve,basket,36.0,0.31820833333333326,0.009772684234275521,0.3025,0.3025,0.310375,0.318,0.323125,0.3355,0.3355,0.194,-0.861
rounds,basket,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,basket,36.0,80.66666666666667,1.45405835999994,78.0,78.0,80.0,81.0,81.25,83.0,83.0,-0.617,-0.144
x402Total,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,spread,36.0,658473666.5,800784062.9291409,202607281.0,202607281.0,202607283.75,202607286.5,658473669.25,2026072812.0,2026072812.0,1.206,-0.582
role_pnl,spread,36.0,-305.5291475436281,6710.574934153812,-14826.094751696612,-11800.26014325504,-2538.323888968822,-523.9749931430945,3863.923436464729,9908.090254824612,14597.866845703837,-0.241,0.099
