     mode         column  outlier_count  outlier_pct           min          max          mean  iqr_outliers  zscore_outliers
   basket           seed              9        25.00  2.026080e+08 2.026080e+09  6.584761e+08             9                0
   basket       minCurve              6        16.67  1.045000e-01 1.150000e-01  1.106000e-01             6                0
   basket wallet_sum_pnl              3         8.33 -5.151435e-14 5.329071e-14 -0.000000e+00             3                0
   basket       maxCurve              3         8.33  2.285000e-01 2.620000e-01  2.463000e-01             3                0
   basket       role_pnl              0         0.00 -6.630180e+01 4.723297e+01 -1.379900e+00             0                0
   basket    realizedAbs              0         0.00  9.413550e+01 2.924849e+02  1.885378e+02             0                0
   basket        minSpot              0         0.00  1.094645e-01 1.291114e-01  1.182000e-01             0                0
   basket        maxSpot              0         0.00  1.977978e-01 2.186855e-01  2.072000e-01             0                0
   basket         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
   basket settlementLegs              0         0.00  7.700000e+01 8.300000e+01  8.000000e+01             0                0
   basket      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   basket  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   spread           seed              9        25.00  2.026080e+08 2.026080e+09  6.584761e+08             9                0
   spread       role_pnl              3         8.33 -2.157286e+04 1.306749e+04 -3.923359e+02             3                0
   spread       minCurve              3         8.33  3.645450e+01 4.100450e+01  3.954790e+01             3                0
   spread       maxCurve              3         8.33  6.980150e+01 7.302000e+01  7.119360e+01             3                0
   spread wallet_sum_pnl              0         0.00 -9.549694e-12 8.640200e-12 -0.000000e+00             0                0
   spread    realizedAbs              0         0.00  2.704934e+04 7.395963e+04  5.305171e+04             0                0
   spread        minSpot              0         0.00  4.064049e+01 4.554111e+01  4.262930e+01             0                0
   spread        maxSpot              0         0.00  6.129076e+01 7.066368e+01  6.636570e+01             0                0
   spread         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
   spread settlementLegs              0         0.00  7.800000e+01 8.300000e+01  8.000000e+01             0                0
   spread      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   spread  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
synthetic           seed              9        25.00  2.026080e+08 2.026080e+09  6.584761e+08             9                0
synthetic       minCurve              6        16.67  4.200000e-02 4.600000e-02  4.440000e-02             6                0
synthetic settlementLegs              6        16.67  7.600000e+01 8.300000e+01  7.950000e+01             6                0
synthetic wallet_sum_pnl              3         8.33 -1.598721e-14 1.199041e-14  0.000000e+00             3                0
synthetic       maxCurve              3         8.33  9.150000e-02 1.045000e-01  9.880000e-02             3                0
synthetic       role_pnl              0         0.00 -2.325429e+01 1.712536e+01 -5.504000e-01             0                0
synthetic    realizedAbs              0         0.00  4.316343e+01 1.100748e+02  7.397490e+01             0                0
synthetic        minSpot              0         0.00  4.378579e-02 5.164454e-02  4.730000e-02             0                0
synthetic        maxSpot              0         0.00  7.911913e-02 8.747420e-02  8.290000e-02             0                0
synthetic         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
synthetic      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
synthetic  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
     x402           seed              9        25.00  2.026080e+08 2.026080e+09  6.584761e+08             9                0
     x402       minCurve              6        16.67  4.200000e-02 4.600000e-02  4.440000e-02             6                0
     x402 settlementLegs              6        16.67  7.600000e+01 8.300000e+01  7.950000e+01             6                0
     x402 wallet_sum_pnl              3         8.33 -1.598721e-14 1.199041e-14  0.000000e+00             3                0
     x402       maxCurve              3         8.33  9.150000e-02 1.045000e-01  9.880000e-02             3                0
     x402      x402Total              3         8.33  2.625156e+02 4.050931e+02  3.277801e+02             3                0
     x402       role_pnl              0         0.00 -2.325429e+01 1.712536e+01 -5.504000e-01             0                0
     x402    realizedAbs              0         0.00  4.316343e+01 1.100748e+02  7.397490e+01             0                0
     x402        minSpot              0         0.00  4.378579e-02 5.164454e-02  4.730000e-02             0                0
     x402        maxSpot              0         0.00  7.911913e-02 8.747420e-02  8.290000e-02             0                0
     x402         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
     x402  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0

Saved to out/programmatic-eda/compute-futures-2026-08-04/outliers_by_mode.csv
