,mode,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurt
seed,basket,36.0,658472854.0,800783074.8303169,202607031.0,202607031.0,202607033.75,202607036.5,658472856.75,2026070312.0,2026070312.0,1.206,-0.582
role_pnl,basket,36.0,-1.1833391231751282,26.892905245607867,-57.65853494473497,-55.01141487632521,-15.370563092202866,5.34035681205828,17.032125463893095,35.454780542501425,42.14825261397982,-0.57,-0.37
wallet_sum_pnl,basket,36.0,1.55431223447522e-15,1.7178111316434016e-14,-3.108624468950438e-14,-3.108624468950438e-14,-1.0436096431476471e-14,-2.220446049250313e-16,1.0935696792557792e-14,2.930988785010413e-14,2.930988785010413e-14,0.032,-0.486
realizedAbs,basket,36.0,176.51945692521576,32.831879084883916,132.6268737318361,132.6268737318361,152.0842012387585,173.14692053499067,205.09092572507285,227.5703584448548,227.5703584448548,0.071,-1.33
minSpot,basket,36.0,0.11360901959203261,0.006617855461518112,0.0993156429168996,0.0993156429168996,0.10966950996646378,0.11390556607400175,0.11763770287067281,0.124301526419862,0.124301526419862,-0.354,0.039
maxSpot,basket,36.0,0.19920258166131574,0.008406978118623303,0.1847136298462838,0.1847136298462838,0.19520589375419786,0.1997598331722733,0.20312073968214134,0.2159189806007154,0.2159189806007154,0.13,-0.211
minCurve,basket,36.0,0.10622916666666667,0.0028935735444503325,0.1005,0.1005,0.10425,0.107,0.107625,0.111,0.111,-0.42,-0.399
maxCurve,basket,36.0,0.23641666666666664,0.0036085216601024514,0.2325,0.2325,0.234375,0.235,0.23762499999999998,0.2465,0.2465,1.781,3.171
rounds,basket,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,basket,36.0,79.66666666666667,1.567527625639452,77.0,77.0,78.0,80.0,81.0,82.0,82.0,-0.257,-1.317
x402Total,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,spread,36.0,658472854.0,800783074.8303169,202607031.0,202607031.0,202607033.75,202607036.5,658472856.75,2026070312.0,2026070312.0,1.206,-0.582
role_pnl,spread,36.0,-474.35430295383037,8203.599429997183,-19217.94660992374,-14717.95902250272,-6331.821672730273,1445.2562543203287,6269.569370745422,8382.236898091738,12128.906835491473,-0.713,-0.411
wallet_sum_pnl,spread,36.0,-4.547473508864641e-13,4.785739416660743e-12,-1.1823431123048067e-11,-1.1823431123048067e-11,-2.330580173293129e-12,5.684341886080801e-13,1.8474111129762605e-12,7.617018127348274e-12,7.617018127348274e-12,-0.778,1.028
realizedAbs,spread,36.0,50214.8902099698,11188.790929056677,33546.71713303233,33546.71713303233,41857.965591697575,49036.704994545355,55104.50473778065,74301.84830158114,74301.84830158114,0.654,-0.113
minSpot,spread,36.0,42.57691455787338,1.2741210084985988,40.39292537288498,40.39292537288498,41.512570024902516,42.81342212577318,43.078557591276684,45.59400735836296,45.59400735836296,0.586,1.011
maxSpot,spread,36.0,66.06783700571653,2.5645732353686066,63.293230739395206,63.293230739395206,63.949902121508686,65.62804721344159,66.69058214382771,72.5654517049355,72.5654517049355,1.266,1.402
minCurve,spread,36.0,40.007958333333335,0.9239660582433289,38.1325,38.1325,39.504625,40.1035,40.869375000000005,40.966,40.966,-0.648,-0.675
maxCurve,spread,36.0,70.75737500000001,1.2598230339161596,68.6405,68.6405,69.843625,71.1695,71.740875,72.745,72.745,-0.262,-1.124
rounds,spread,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,spread,36.0,80.41666666666667,1.9621416870348583,77.0,77.0,79.5,80.5,82.0,84.0,84.0,-0.12,-0.608
x402Total,spread,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,spread,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,synthetic,36.0,658472854.0,800783074.8303169,202607031.0,202607031.0,202607033.75,202607036.5,658472856.75,2026070312.0,2026070312.0,1.206,-0.582
role_pnl,synthetic,36.0,-0.4567897869267846,10.164911638016262,-22.37378854833727,-20.495703574980368,-5.66199381699912,0.879226080579411,6.039883743197352,14.330984128599699,16.984916698354795,-0.551,-0.2
wallet_sum_pnl,synthetic,36.0,4.6074255521944e-15,8.113444234747942e-15,-7.327471962526033e-15,-7.327471962526033e-15,-1.4988010832439613e-15,2.942091015256665e-15,1.1657341758564144e-14,1.8651746813702633e-14,1.8651746813702633e-14,0.297,-1.183
realizedAbs,synthetic,36.0,69.97662308298749,13.148483965163557,46.65097930237658,46.65097930237658,62.783619310724376,70.03567087923892,77.27453244589643,90.17428560373376,90.17428560373376,-0.103,-0.738
minSpot,synthetic,36.0,0.04733709149668022,0.002757439775632536,0.0413815178820415,0.0413815178820415,0.04569562915269323,0.047460652530834,0.04901570952944698,0.0517923026749425,0.0517923026749425,-0.354,0.039
maxSpot,synthetic,36.0,0.0830010756922149,0.00350290754942639,0.0769640124359516,0.0769640124359516,0.08133578906424907,0.0832332638217805,0.08463364153422558,0.0899662419169648,0.0899662419169648,0.13,-0.211
minCurve,synthetic,36.0,0.04441666666666666,0.00114953406710222,0.0425,0.0425,0.04375,0.0445,0.045125,0.0465,0.0465,-0.053,-0.744
maxCurve,synthetic,36.0,0.09849999999999999,0.0017928429140015893,0.0955,0.0955,0.0975,0.098,0.0995,0.103,0.103,0.969,1.663
rounds,synthetic,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,synthetic,36.0,80.16666666666667,2.063284482843521,76.0,76.0,80.0,80.5,82.0,82.0,82.0,-1.228,0.368
x402Total,synthetic,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,synthetic,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,x402,36.0,658472854.0,800783074.8303169,202607031.0,202607031.0,202607033.75,202607036.5,658472856.75,2026070312.0,2026070312.0,1.206,-0.582
role_pnl,x402,36.0,-0.4567897869267846,10.164911638016262,-22.37378854833727,-20.495703574980368,-5.66199381699912,0.879226080579411,6.039883743197352,14.330984128599699,16.984916698354795,-0.551,-0.2
wallet_sum_pnl,x402,36.0,4.6074255521944e-15,8.113444234747942e-15,-7.327471962526033e-15,-7.327471962526033e-15,-1.4988010832439613e-15,2.942091015256665e-15,1.1657341758564144e-14,1.8651746813702633e-14,1.8651746813702633e-14,0.297,-1.183
realizedAbs,x402,36.0,69.97662308298749,13.148483965163557,46.65097930237658,46.65097930237658,62.783619310724376,70.03567087923892,77.27453244589643,90.17428560373376,90.17428560373376,-0.103,-0.738
minSpot,x402,36.0,0.04733709149668022,0.002757439775632536,0.0413815178820415,0.0413815178820415,0.04569562915269323,0.047460652530834,0.04901570952944698,0.0517923026749425,0.0517923026749425,-0.354,0.039
maxSpot,x402,36.0,0.0830010756922149,0.00350290754942639,0.0769640124359516,0.0769640124359516,0.08133578906424907,0.0832332638217805,0.08463364153422558,0.0899662419169648,0.0899662419169648,0.13,-0.211
minCurve,x402,36.0,0.04441666666666666,0.00114953406710222,0.0425,0.0425,0.04375,0.0445,0.045125,0.0465,0.0465,-0.053,-0.744
maxCurve,x402,36.0,0.09849999999999999,0.0017928429140015893,0.0955,0.0955,0.0975,0.098,0.0995,0.103,0.103,0.969,1.663
rounds,x402,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,x402,36.0,80.16666666666667,2.063284482843521,76.0,76.0,80.0,80.5,82.0,82.0,82.0,-1.228,0.368
x402Total,x402,36.0,322.3317970965349,24.269795094604476,273.6531726457559,273.6531726457559,311.1011417678172,324.63514998238577,338.2297680773152,366.6715907597317,366.6715907597317,-0.313,-0.089
deniedWorkers,x402,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
