     mode         column  outlier_count  outlier_pct           min          max          mean  iqr_outliers  zscore_outliers
   basket           seed              9        25.00  2.026080e+08 2.026080e+09  6.584761e+08             9                0
   basket       role_pnl              5        13.89 -8.647539e+01 5.957394e+01 -1.781000e-01             5                0
   basket wallet_sum_pnl              3         8.33 -6.750156e-14 4.085621e-14 -0.000000e+00             3                0
   basket        maxSpot              3         8.33  2.035688e-01 2.245261e-01  2.127000e-01             3                0
   basket    realizedAbs              0         0.00  1.299317e+02 2.278809e+02  1.767271e+02             0                0
   basket        minSpot              0         0.00  1.128953e-01 1.258850e-01  1.198000e-01             0                0
   basket       minCurve              0         0.00  1.045000e-01 1.165000e-01  1.111000e-01             0                0
   basket       maxCurve              0         0.00  2.320000e-01 2.565000e-01  2.464000e-01             0                0
   basket         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
   basket settlementLegs              0         0.00  7.400000e+01 8.200000e+01  7.883330e+01             0                0
   basket      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   basket  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   spread           seed              9        25.00  2.026080e+08 2.026080e+09  6.584761e+08             9                0
   spread wallet_sum_pnl              3         8.33 -1.409717e-11 1.045919e-11  0.000000e+00             3                0
   spread       role_pnl              2         5.56 -2.108536e+04 1.457907e+04 -3.731796e+02             2                0
   spread    realizedAbs              0         0.00  2.964513e+04 6.907578e+04  4.487750e+04             0                0
   spread        minSpot              0         0.00  3.953428e+01 4.569106e+01  4.201190e+01             0                0
   spread        maxSpot              0         0.00  6.380734e+01 7.212453e+01  6.711420e+01             0                0
   spread       minCurve              0         0.00  3.835000e+01 4.231350e+01  4.053700e+01             0                0
   spread       maxCurve              0         0.00  6.710150e+01 7.499350e+01  7.053880e+01             0                0
   spread         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
   spread settlementLegs              0         0.00  7.600000e+01 8.400000e+01  7.983330e+01             0                0
   spread      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   spread  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
synthetic           seed              9        25.00  2.026080e+08 2.026080e+09  6.584761e+08             9                0
synthetic    realizedAbs              6        16.67  4.687437e+01 8.835610e+01  6.873410e+01             6                0
synthetic       role_pnl              4        11.11 -3.084982e+01 1.977278e+01 -2.700000e-02             4                0
synthetic        maxSpot              3         8.33  8.142753e-02 8.981043e-02  8.510000e-02             3                0
synthetic       minCurve              3         8.33  4.150000e-02 4.700000e-02  4.450000e-02             3                0
synthetic wallet_sum_pnl              0         0.00 -7.549517e-15 1.421085e-14  0.000000e+00             0                0
synthetic        minSpot              0         0.00  4.515813e-02 5.035401e-02  4.790000e-02             0                0
synthetic       maxCurve              0         0.00  9.300000e-02 1.025000e-01  9.860000e-02             0                0
synthetic         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
synthetic settlementLegs              0         0.00  7.800000e+01 8.300000e+01  7.983330e+01             0                0
synthetic      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
synthetic  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
     x402           seed              9        25.00  2.026080e+08 2.026080e+09  6.584761e+08             9                0
     x402    realizedAbs              6        16.67  4.687437e+01 8.835610e+01  6.873410e+01             6                0
     x402      x402Total              6        16.67  2.769570e+02 3.851926e+02  3.228467e+02             6                0
     x402       role_pnl              4        11.11 -3.084982e+01 1.977278e+01 -2.700000e-02             4                0
     x402        maxSpot              3         8.33  8.142753e-02 8.981043e-02  8.510000e-02             3                0
     x402       minCurve              3         8.33  4.150000e-02 4.700000e-02  4.450000e-02             3                0
     x402 wallet_sum_pnl              0         0.00 -7.549517e-15 1.421085e-14  0.000000e+00             0                0
     x402        minSpot              0         0.00  4.515813e-02 5.035401e-02  4.790000e-02             0                0
     x402       maxCurve              0         0.00  9.300000e-02 1.025000e-01  9.860000e-02             0                0
     x402         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
     x402 settlementLegs              0         0.00  7.800000e+01 8.300000e+01  7.983330e+01             0                0
     x402  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0

Saved to out/programmatic-eda/compute-futures-2026-08-03/outliers_by_mode.csv
