     mode         column  outlier_count  outlier_pct           min          max          mean  iqr_outliers  zscore_outliers
   basket           seed              9        25.00  2.026072e+08 2.026072e+09  6.584734e+08             9                0
   basket settlementLegs              6        16.67  7.700000e+01 8.400000e+01  8.033330e+01             6                0
   basket        maxSpot              3         8.33  1.954173e-01 2.298734e-01  2.074000e-01             3                0
   basket       minCurve              3         8.33  1.055000e-01 1.145000e-01  1.113000e-01             3                0
   basket       role_pnl              1         2.78 -9.118826e+01 4.548977e+01 -1.123800e+00             1                1
   basket wallet_sum_pnl              0         0.00 -3.286260e-14 3.186340e-14  0.000000e+00             0                0
   basket    realizedAbs              0         0.00  1.202577e+02 2.788345e+02  1.909936e+02             0                0
   basket        minSpot              0         0.00  1.138883e-01 1.282600e-01  1.209000e-01             0                0
   basket       maxCurve              0         0.00  2.395000e-01 2.560000e-01  2.461000e-01             0                0
   basket         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
   basket      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   basket  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   spread           seed              9        25.00  2.026072e+08 2.026072e+09  6.584734e+08             9                0
   spread        minSpot              6        16.67  3.974702e+01 4.567701e+01  4.348100e+01             6                0
   spread    realizedAbs              3         8.33  3.773750e+04 9.781754e+04  5.384362e+04             3                0
   spread        maxSpot              3         8.33  6.224791e+01 7.387173e+01  6.532970e+01             3                0
   spread       role_pnl              2         5.56 -3.592360e+04 1.866903e+04 -5.112614e+02             2                1
   spread wallet_sum_pnl              0         0.00 -7.730705e-12 4.547474e-12 -0.000000e+00             0                0
   spread       minCurve              0         0.00  3.907950e+01 4.212950e+01  4.046690e+01             0                0
   spread       maxCurve              0         0.00  6.933250e+01 7.526050e+01  7.206670e+01             0                0
   spread         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
   spread settlementLegs              0         0.00  7.800000e+01 8.400000e+01  8.050000e+01             0                0
   spread      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   spread  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
synthetic           seed              9        25.00  2.026072e+08 2.026072e+09  6.584734e+08             9                0
synthetic        maxSpot              3         8.33  7.816691e-02 9.194936e-02  8.290000e-02             3                0
synthetic       minCurve              3         8.33  4.200000e-02 4.600000e-02  4.480000e-02             3                0
synthetic       role_pnl              1         2.78 -3.409674e+01 1.722045e+01 -5.482000e-01             1                1
synthetic wallet_sum_pnl              0         0.00 -2.065015e-14 1.776357e-14 -0.000000e+00             0                0
synthetic    realizedAbs              0         0.00  4.562488e+01 1.003077e+02  7.375290e+01             0                0
synthetic        minSpot              0         0.00  4.555531e-02 5.130401e-02  4.840000e-02             0                0
synthetic       maxCurve              0         0.00  9.650000e-02 1.025000e-01  9.910000e-02             0                0
synthetic         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
synthetic settlementLegs              0         0.00  7.800000e+01 8.400000e+01  8.016670e+01             0                0
synthetic      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
synthetic  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
     x402           seed              9        25.00  2.026072e+08 2.026072e+09  6.584734e+08             9                0
     x402        maxSpot              3         8.33  7.816691e-02 9.194936e-02  8.290000e-02             3                0
     x402       minCurve              3         8.33  4.200000e-02 4.600000e-02  4.480000e-02             3                0
     x402       role_pnl              1         2.78 -3.409674e+01 1.722045e+01 -5.482000e-01             1                1
     x402 wallet_sum_pnl              0         0.00 -2.065015e-14 1.776357e-14 -0.000000e+00             0                0
     x402    realizedAbs              0         0.00  4.562488e+01 1.003077e+02  7.375290e+01             0                0
     x402        minSpot              0         0.00  4.555531e-02 5.130401e-02  4.840000e-02             0                0
     x402       maxCurve              0         0.00  9.650000e-02 1.025000e-01  9.910000e-02             0                0
     x402         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
     x402 settlementLegs              0         0.00  7.800000e+01 8.400000e+01  8.016670e+01             0                0
     x402      x402Total              0         0.00  2.856321e+02 3.784937e+02  3.365379e+02             0                0
     x402  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0

Saved to out/programmatic-eda/compute-futures-2026-07-21/outliers_by_mode.csv
