     mode         column  outlier_count  outlier_pct           min          max          mean  iqr_outliers  zscore_outliers
   basket           seed              9        25.00  2.026072e+08 2.026072e+09  6.584733e+08             9                0
   basket settlementLegs              6        16.67  7.700000e+01 8.200000e+01  7.975000e+01             6                0
   basket        minSpot              3         8.33  1.190858e-01 1.373065e-01  1.272000e-01             3                0
   basket        maxSpot              3         8.33  2.054037e-01 2.401289e-01  2.191000e-01             3                0
   basket       maxCurve              3         8.33  2.465000e-01 2.640000e-01  2.565000e-01             3                0
   basket       role_pnl              0         0.00 -4.950989e+01 4.560446e+01 -7.404000e-01             0                0
   basket wallet_sum_pnl              0         0.00 -3.924638e-14 4.574119e-14  0.000000e+00             0                0
   basket    realizedAbs              0         0.00  1.537443e+02 2.597930e+02  2.029117e+02             0                0
   basket       minCurve              0         0.00  1.125000e-01 1.205000e-01  1.167000e-01             0                0
   basket         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
   basket      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   basket  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   spread           seed              9        25.00  2.026072e+08 2.026072e+09  6.584733e+08             9                0
   spread       role_pnl              0         0.00 -2.524216e+04 1.567765e+04 -6.274212e+02             0                0
   spread wallet_sum_pnl              0         0.00 -5.456968e-12 5.911716e-12 -0.000000e+00             0                0
   spread    realizedAbs              0         0.00  3.379416e+04 7.484370e+04  5.104257e+04             0                0
   spread        minSpot              0         0.00  3.947116e+01 4.509553e+01  4.224640e+01             0                0
   spread        maxSpot              0         0.00  6.315224e+01 7.311406e+01  6.732540e+01             0                0
   spread       minCurve              0         0.00  3.676550e+01 4.048950e+01  3.913180e+01             0                0
   spread       maxCurve              0         0.00  6.824400e+01 7.396300e+01  7.123590e+01             0                0
   spread         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
   spread settlementLegs              0         0.00  7.600000e+01 8.200000e+01  7.925000e+01             0                0
   spread      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   spread  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
synthetic           seed              9        25.00  2.026072e+08 2.026072e+09  6.584733e+08             9                0
synthetic wallet_sum_pnl              9        25.00 -2.453593e-14 2.292611e-14 -0.000000e+00             9                0
synthetic       maxCurve              6        16.67  9.200000e-02 1.010000e-01  9.770000e-02             6                0
synthetic        minSpot              3         8.33  4.536603e-02 5.230723e-02  4.840000e-02             3                0
synthetic        maxSpot              3         8.33  7.824904e-02 9.147769e-02  8.350000e-02             3                0
synthetic       role_pnl              1         2.78 -1.939749e+01 1.477808e+01 -3.994000e-01             1                0
synthetic    realizedAbs              0         0.00  5.601469e+01 9.772290e+01  7.283420e+01             0                0
synthetic       minCurve              0         0.00  4.350000e-02 4.600000e-02  4.470000e-02             0                0
synthetic         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
synthetic settlementLegs              0         0.00  7.600000e+01 8.400000e+01  8.008330e+01             0                0
synthetic      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
synthetic  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
     x402           seed              9        25.00  2.026072e+08 2.026072e+09  6.584733e+08             9                0
     x402 wallet_sum_pnl              9        25.00 -2.453593e-14 2.292611e-14 -0.000000e+00             9                0
     x402       maxCurve              6        16.67  9.200000e-02 1.010000e-01  9.770000e-02             6                0
     x402        minSpot              3         8.33  4.536603e-02 5.230723e-02  4.840000e-02             3                0
     x402        maxSpot              3         8.33  7.824904e-02 9.147769e-02  8.350000e-02             3                0
     x402       role_pnl              1         2.78 -1.939749e+01 1.477808e+01 -3.994000e-01             1                0
     x402    realizedAbs              0         0.00  5.601469e+01 9.772290e+01  7.283420e+01             0                0
     x402       minCurve              0         0.00  4.350000e-02 4.600000e-02  4.470000e-02             0                0
     x402         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
     x402 settlementLegs              0         0.00  7.600000e+01 8.400000e+01  8.008330e+01             0                0
     x402      x402Total              0         0.00  2.848208e+02 3.612065e+02  3.189284e+02             0                0
     x402  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0

Saved to out/programmatic-eda/compute-futures-2026-07-16/outliers_by_mode.csv
